	index	sample	model_class	model_species	model	accuracy	auROC	auPRC	f1_score	fhalf_score	model_type
0	0	Mo2015_EXCpos_Ctx_fold1	CNN	Mouse	cnn/singleTask/Mo2015_EXCpos_Ctx_fold1/Mo2015_EXCpos_Ctx_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8590304429167321	0.9336988889497801	0.7186547929905246	0.8776057902294786	0.8999912043260356	Mo2015_EXCpos_Ctx
1	0	Mo2015_EXCpos_Ctx_fold2	CNN	Mouse	cnn/singleTask/Mo2015_EXCpos_Ctx_fold2/Mo2015_EXCpos_Ctx_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8511552344245954	0.9349374378534328	0.6639211380628388	0.9102347279214726	0.9228536927477398	Mo2015_EXCpos_Ctx
2	0	Mo2015_EXCpos_Ctx_fold3	CNN	Mouse	cnn/singleTask/Mo2015_EXCpos_Ctx_fold3/Mo2015_EXCpos_Ctx_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8457080717782077	0.9392401371273402	0.6695752534606353	0.927689977793732	0.9355007168781704	Mo2015_EXCpos_Ctx
3	0	Mo2015_EXCpos_Ctx_fold4	CNN	Mouse	cnn/singleTask/Mo2015_EXCpos_Ctx_fold4/Mo2015_EXCpos_Ctx_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8419183230296332	0.9408790634228	0.6590275582083214	0.9298518589603483	0.9362843370552086	Mo2015_EXCpos_Ctx
4	0	Mo2015_EXCpos_Ctx_fold5	CNN	Mouse	cnn/singleTask/Mo2015_EXCpos_Ctx_fold5/Mo2015_EXCpos_Ctx_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8371947126575563	0.9340529988713028	0.7287173803682191	0.9121707349822762	0.91614403201603	Mo2015_EXCpos_Ctx
5	0	Mo2015_PVpos_Ctx_fold1	CNN	Mouse	cnn/singleTask/Mo2015_PVpos_Ctx_fold1/Mo2015_PVpos_Ctx_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7963670894225198	0.8979977179316023	0.6403566900306817	0.887390370797029	0.8946174050120312	Mo2015_PVpos_Ctx
6	0	Mo2015_PVpos_Ctx_fold2	CNN	Mouse	cnn/singleTask/Mo2015_PVpos_Ctx_fold2/Mo2015_PVpos_Ctx_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7799028608159344	0.89720096009908	0.5836356674405639	0.9095537805599367	0.9146324855206698	Mo2015_PVpos_Ctx
7	0	Mo2015_PVpos_Ctx_fold3	CNN	Mouse	cnn/singleTask/Mo2015_PVpos_Ctx_fold3/Mo2015_PVpos_Ctx_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8115537540413695	0.910385377001027	0.5557032796573318	0.9144020421752077	0.9277058639608383	Mo2015_PVpos_Ctx
8	0	Mo2015_PVpos_Ctx_fold4	CNN	Mouse	cnn/singleTask/Mo2015_PVpos_Ctx_fold4/Mo2015_PVpos_Ctx_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8043982767627431	0.9046364306910142	0.5960594873430669	0.9051200561021022	0.9157023331618205	Mo2015_PVpos_Ctx
9	0	Mo2015_PVpos_Ctx_fold5	CNN	Mouse	cnn/singleTask/Mo2015_PVpos_Ctx_fold5/Mo2015_PVpos_Ctx_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7753224181729479	0.8962359379439346	0.6229048959947555	0.9032229160779363	0.9051608099280215	Mo2015_PVpos_Ctx
