celltypes	fold	numTestPos	numTestNeg	numTrainPos	numTrainNeg	numValidPos	numValidNeg	posToNegRate
Mo2015_EXCpos_Ctx	fold1	6494	8986	55137	104130	7845	8986	0.708402004556572
Mo2015_EXCpos_Ctx	fold2	5636	11222	55712	97517	8128	11222	0.599274950992631
Mo2015_EXCpos_Ctx	fold3	6192	6953	55929	100362	7355	6953	0.835213428009045
Mo2015_EXCpos_Ctx	fold4	7467	11965	59529	107426	2480	11965	0.461827002073287
Mo2015_EXCpos_Ctx	fold5	6274	16041	55238	97870	7964	16041	0.484000760363819
Mo2015_PVpos_Ctx	fold1	4755	6534	40632	79384	6340	6534	0.736627397762074
Mo2015_PVpos_Ctx	fold2	4969	8769	40381	73314	6377	8769	0.614890454760609
Mo2015_PVpos_Ctx	fold3	4742	5135	42225	76604	4760	5135	0.800549864805458
Mo2015_PVpos_Ctx	fold4	5427	9259	44159	81216	2141	9259	0.453696599338115
Mo2015_PVpos_Ctx	fold5	3930	11799	42190	74317	5607	11799	0.45866401844533
Mo2015_VIPpos_Ctx	fold1	5323	7358	46417	87964	5802	7358	0.679880516862213
Mo2015_VIPpos_Ctx	fold2	5481	9717	44779	81817	7282	9717	0.620259343469886
Mo2015_VIPpos_Ctx	fold3	4918	5688	46826	84928	5798	5688	0.811775799234126
Mo2015_VIPpos_Ctx	fold4	6235	10227	48801	90505	2506	10227	0.46463537536242
Mo2015_VIPpos_Ctx	fold5	4902	13195	46241	82613	6399	13195	0.472063696462628
Pfenning_D1pos_Cpu	fold1	4661	6339	39200	75229	5686	6339	0.717784011102024
Pfenning_D1pos_Cpu	fold2	4287	8134	39521	70049	5739	8134	0.598931555222221
Pfenning_D1pos_Cpu	fold3	4383	4895	39894	72384	5270	4895	0.841052052203253
Pfenning_D1pos_Cpu	fold4	5165	8817	42480	77078	1902	8817	0.450883271814546
Pfenning_D1pos_Cpu	fold5	4466	11390	39828	70447	5253	11390	0.472884518414059
Pfenning_D1pos_Nac	fold1	3875	5433	33497	64634	4889	5433	0.710453914527228
Pfenning_D1pos_Nac	fold2	3753	7025	33492	59871	5016	7025	0.60255298119902
Pfenning_D1pos_Nac	fold3	3609	4243	34354	62087	4298	4243	0.80562009632066
Pfenning_D1pos_Nac	fold4	4461	7465	36014	66461	1786	7465	0.459573428366766
Pfenning_D1pos_Nac	fold5	3807	9693	34035	60437	4419	9693	0.470600690021286
Pfenning_D2pos_Cpu	fold1	4839	6765	41798	79382	5971	6765	0.708157688630008
Pfenning_D2pos_Cpu	fold2	4430	8612	42053	73949	6125	8612	0.598097043092748
Pfenning_D2pos_Cpu	fold3	4407	5211	42339	76521	5862	5211	0.841312709060484
Pfenning_D2pos_Cpu	fold4	5664	9270	44873	81487	2071	9270	0.461696292352168
Pfenning_D2pos_Cpu	fold5	5018	11960	42235	74478	5355	11960	0.478129301304601
Pfenning_D2pos_Nac	fold1	3856	5415	33177	64137	4754	5415	0.70243700541133
Pfenning_D2pos_Nac	fold2	3520	6955	33351	59518	4916	6955	0.591097273667598
Pfenning_D2pos_Nac	fold3	3573	4273	33574	61673	4640	4273	0.822152045770564
Pfenning_D2pos_Nac	fold4	4447	7307	35693	66179	1647	7307	0.4577783578708
Pfenning_D2pos_Nac	fold5	3836	9678	33632	60014	4319	9678	0.467678449366613
Pfenning_PVpos_Cpu	fold1	3548	5112	31488	61095	4760	5112	0.713529892195651
Pfenning_PVpos_Cpu	fold2	3867	6632	31120	56479	4809	6632	0.619734636968056
Pfenning_PVpos_Cpu	fold3	3369	3858	32609	58881	3818	3858	0.805564749398469
Pfenning_PVpos_Cpu	fold4	4344	7172	33764	62537	1688	7172	0.460317632879722
Pfenning_PVpos_Cpu	fold5	3280	9018	32399	57199	4117	9018	0.462224792857658
Pfenning_PVpos_Ctx	fold1	6537	8504	52496	100538	8028	8504	0.744958084271124
Pfenning_PVpos_Ctx	fold2	6449	10877	52775	93590	7837	10877	0.625769780144883
Pfenning_PVpos_Ctx	fold3	5632	6497	54866	96863	6563	6497	0.814483012307465
Pfenning_PVpos_Ctx	fold4	6809	11720	57158	103233	3094	11720	0.466215136921397
Pfenning_PVpos_Ctx	fold5	5439	15102	54356	94347	7266	15102	0.472469282500837
Pfenning_SSTpos_Cpu	fold1	4542	6178	38039	73536	5678	6178	0.723847030820876
Pfenning_SSTpos_Cpu	fold2	4189	7932	38172	68350	5898	7932	0.610054245529822
Pfenning_SSTpos_Cpu	fold3	4187	4871	39360	70669	4712	4871	0.79463255425235
Pfenning_SSTpos_Cpu	fold4	5045	8481	41401	75635	1813	8481	0.452003305550716
Pfenning_SSTpos_Cpu	fold5	4303	11050	38804	68895	5152	11050	0.472963338422285
Pfenning_SSTpos_Ctx	fold1	4032	5604	34342	66492	5300	5604	0.727240766955032
Pfenning_SSTpos_Ctx	fold2	4218	7221	34156	61510	5300	7221	0.624463936206465
Pfenning_SSTpos_Ctx	fold3	3720	4209	35728	64145	4226	4209	0.8149491409697
Pfenning_SSTpos_Ctx	fold4	4556	7770	37368	68126	1750	7770	0.453365353644249
Pfenning_SSTpos_Ctx	fold5	3733	9868	35419	62349	4522	9868	0.468206277299613
