# MEAN_SAMPLE_SIZE = 19873
# TOTAL_GENES = 18912
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      58     0.052474    0.0029016      0.11968      0.33054 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      29      0.17885    0.0069985      0.16377       0.1374 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      23      0.21734    0.0075751      0.19981      0.13836 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      29      0.23018    0.0090068      0.24504      0.17378 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      32      0.11112    0.0045671      0.15184      0.23215 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      26      0.22961    0.0085078      0.19416      0.11849 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      26     -0.21309   -0.0078956      0.27705      0.77908 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      40     -0.16808   -0.0077219      0.15081      0.86747 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      15     0.090752    0.0025549      0.23411      0.34914 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      16      0.10234    0.0029755      0.22972      0.32798 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      53       0.1564    0.0082679      0.15026      0.14899 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     115    -0.052827    -0.004107     0.081251       0.7422 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg_purin...          SET     152     0.055037    0.0049143     0.070965      0.21901 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      93      0.10812    0.0075638     0.089265       0.1129 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      31      0.11189    0.0045263      0.15975      0.24185 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      28      0.11554    0.0044424      0.16178      0.23756 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      33      0.46925     0.019585      0.16131    0.0018148 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      42    -0.035608   -0.0016762      0.14461      0.59725 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg_valin...1         SET       8      0.12141    0.0024966      0.27692      0.33054 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg_lysin...          SET      41      0.12532     0.005829      0.12917      0.16598 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg_argin...          SET      48    -0.031544   -0.0015872      0.12902      0.59657 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg_histi...          SET      27     -0.11461   -0.0043277      0.18676      0.73029 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg_tyros...          SET      39     0.060408    0.0027404      0.16254      0.35508 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg_pheny...          SET      16      0.25148    0.0073117      0.24521      0.15255 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg_trypt...          SET      37    -0.079561   -0.0035157       0.1563      0.69463 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      21      0.09239    0.0030771      0.19793      0.32033 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10     0.053555    0.0012312      0.28989      0.42672 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      26     0.081601    0.0030236      0.18726      0.33151 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      48      -0.1201    -0.006043      0.14363      0.79846 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      49    -0.047023   -0.0023905      0.16032      0.61536 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      46      0.34421     0.016956      0.12798    0.0035804 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      15     -0.43203    -0.012163      0.23608      0.96637 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29     -0.23135   -0.0090527      0.20459      0.87093 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      44     -0.12026   -0.0057939      0.12943      0.82358 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      20     -0.31556    -0.010257      0.20496      0.93817 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      21      0.13928    0.0046389      0.21928      0.26265 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15      0.34648    0.0097543      0.23202     0.067684 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      25      0.29115     0.010579      0.20785     0.080654 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      44     0.058111    0.0027997      0.14762      0.34692 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53     0.020912    0.0011055      0.12632      0.43426 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      24      0.14292    0.0050882      0.16457      0.19258 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      74     0.062708     0.003915      0.10915      0.28282 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33     0.011691   0.00048795      0.16189      0.47122 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58     0.024048    0.0013298      0.12352      0.42282 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29      0.14422    0.0056432      0.17229      0.20129 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19    -0.063975   -0.0020268      0.20132      0.62467 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      37      -0.0132  -0.00058329      0.16249      0.53237 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25     0.042511    0.0015447      0.17874      0.40601 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13     -0.11663   -0.0030567      0.25158      0.67852 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15     -0.51224    -0.014421      0.25096      0.97937 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39     0.039762    0.0018038      0.14568      0.39245 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16   -0.0052192  -0.00015175      0.22553      0.50923 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     0.079084    0.0032504      0.17629      0.32686 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      32     -0.17551   -0.0072134      0.16859      0.85106 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17      0.24958    0.0074798      0.25329      0.16222 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15      0.43151     0.012148      0.22852       0.0295 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24   -0.0061205   -0.0002179      0.19514      0.51251 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16       0.2509    0.0072949      0.21546      0.12212 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11     -0.13554   -0.0032681      0.31574      0.66614 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      62      0.22407     0.012809      0.15302     0.071566 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      40      0.01869   0.00085867      0.17078      0.45643 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15      -0.1525   -0.0042932      0.22614      0.74996 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10     -0.28558   -0.0065654      0.27624      0.84938 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21     0.053807     0.001792      0.20439      0.39618 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11    0.0034479   8.3132e-05      0.27701      0.49503 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      39      0.13136     0.005959      0.13726       0.1693 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      70      0.13272    0.0080597      0.14141        0.174 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      70      0.14481    0.0087938      0.14107      0.15234 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
