# TOTAL_GENES = 17187
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17187    -0.045749    -0.091216     0.012116      0.99992 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17187     -0.04959    -0.096221     0.012606      0.99996 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17187     0.005567     0.010733      0.01133       0.3116 Adrenal_Gland
Artery_Aorta                        COVAR   17187    -0.026268    -0.053572     0.011534      0.98861 Artery_Aorta
Artery_Coronary                     COVAR   17187     -0.03869     -0.07695     0.013381      0.99808 Artery_Coronary
Artery_Tibial                       COVAR   17187    -0.016992    -0.034963      0.01132      0.93332 Artery_Tibial
Bladder                             COVAR   17187    -0.053718     -0.10461     0.014743      0.99987 Bladder
Brain_Amygdala                      COVAR   17187      0.02898      0.04931    0.0088819   0.00055275 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17187       0.0386     0.068116    0.0081785   1.1911e-06 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17187     0.033871     0.058434    0.0088994   7.0884e-05 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17187     0.046091     0.092429    0.0068796   1.0786e-11 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17187     0.047229     0.093683    0.0070917   1.4148e-11 Brain_Cerebellum
Brain_Cortex                        COVAR   17187      0.04429     0.080691    0.0080804    2.144e-08 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17187      0.04319      0.07951    0.0078019   1.5719e-08 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17187      0.03146     0.053206    0.0090233    0.0002453 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17187     0.041146     0.070716    0.0091894   3.8008e-06 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17187     0.037372     0.064766     0.008593   6.8767e-06 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17187     0.028343     0.048172    0.0089716   0.00079248 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17187     0.016741     0.030046    0.0097662     0.043262 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17187     0.022193     0.038149    0.0097224     0.011231 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17187    -0.061999     -0.11911     0.014291      0.99999 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17187    0.0006696     0.001434    0.0074001      0.46395 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17187   -0.0095063     -0.02072    0.0055866      0.95558 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17187    -0.026272    -0.051455     0.013733      0.97213 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17187     -0.03161    -0.062525     0.013111      0.99204 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17187    0.0080158     0.015669     0.014114      0.28504 Colon_Sigmoid
Colon_Transverse                    COVAR   17187    -0.036973    -0.067902     0.012943      0.99786 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17187   -0.0078484    -0.015438     0.014431      0.70673 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17187    -0.028918    -0.055861    0.0085855      0.99962 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17187   -0.0055278    -0.010895     0.013971      0.65382 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17187    -0.046619    -0.090352     0.013465      0.99973 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17187   -0.0023207    -0.004163     0.010736      0.58556 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17187   0.00094405    0.0015744     0.010273      0.46339 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17187    -0.030765    -0.053978     0.010196      0.99872 Kidney_Cortex
Kidney_Medulla                      COVAR   17187    -0.042653    -0.078762     0.010488      0.99998 Kidney_Medulla
Liver                               COVAR   17187   -0.0018425   -0.0033145    0.0071463      0.60173 Liver
Lung                                COVAR   17187    -0.049847    -0.096293     0.010382            1 Lung
Minor_Salivary_Gland                COVAR   17187    -0.033355    -0.062025      0.01084      0.99895 Minor_Salivary_Gland
