# MEAN_SAMPLE_SIZE = 41129
# TOTAL_GENES = 16316
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   16316    -0.011087    -0.021889     0.011237      0.83809 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   16316    -0.029968    -0.057524      0.01164      0.99498 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   16316    -0.019465    -0.037171     0.010387      0.96953 Adrenal_Gland
Artery_Aorta                        COVAR   16316   -0.0052755    -0.010663     0.010645       0.6899 Artery_Aorta
Artery_Coronary                     COVAR   16316   -0.0089762     -0.01767     0.012431      0.76488 Artery_Coronary
Artery_Tibial                       COVAR   16316  -0.00023619  -0.00048198     0.010415      0.50905 Artery_Tibial
Bladder                             COVAR   16316    -0.022027    -0.042408     0.013728      0.94569 Bladder
Brain_Amygdala                      COVAR   16316     0.015729     0.026489    0.0082603     0.028454 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   16316     0.019554     0.034161    0.0076239    0.0051666 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   16316     0.020072     0.034245    0.0083075    0.0078479 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   16316     0.025439     0.050586    0.0063776   3.3345e-05 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   16316     0.025945     0.050997    0.0065906   4.1501e-05 Brain_Cerebellum
Brain_Cortex                        COVAR   16316     0.020992     0.037857    0.0075267    0.0026461 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   16316     0.019811     0.036099    0.0072596      0.00318 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   16316     0.017639     0.029512    0.0083961     0.017834 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   16316     0.019771     0.033584    0.0085198      0.01016 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   16316     0.023772     0.040748    0.0080358    0.0015493 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   16316     0.017161     0.028868    0.0083792     0.020285 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   16316    0.0082574     0.014668    0.0089273       0.1775 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   16316      0.01046      0.01779    0.0089807      0.12208 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16316    -0.023143    -0.043927     0.013227      0.95991 Breast_Mammary_Tissue
