annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	138	0.013904282115869	1.49147604053806	8.36384233961255e-06
UTR5	71546	0.00285251910856087	62	0.00624685138539043	2.18994199430343	4.36694273290948e-08
downstream	284177	0.0113300579027968	138	0.013904282115869	1.22720309420809	0.0176290867433175
exonic	254736	0.0101562534263042	125	0.0125944584382872	1.24006933557488	0.0184596417853208
intergenic	11684523	0.465858680176655	2059	0.207455919395466	0.445319424587727	0
intronic	9137749	0.364319509570527	5612	0.56544080604534	1.55204646249086	0
ncRNA_exonic	259951	0.0103641740249561	122	0.0122921914357683	1.18602711669735	0.0595663188045697
ncRNA_intronic	2884355	0.114998431126451	1545	0.155667506297229	1.3536489565328	7.2919044889216e-34
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.000100755667506297	0.892976119482693	1
upstream	266686	0.0106326966005879	123	0.0123929471032746	1.16555071293855	0.0957236332676548
