# MEAN_SAMPLE_SIZE = 15309
# TOTAL_GENES = 17188
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17188    -0.026602    -0.053041     0.012736      0.98163 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17188    -0.038747    -0.075185     0.013213      0.99832 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17188   0.00077074    0.0014861     0.011828      0.47402 Adrenal_Gland
Artery_Aorta                        COVAR   17188    -0.028826    -0.058791     0.012094      0.99142 Artery_Aorta
Artery_Coronary                     COVAR   17188    -0.041333    -0.082212     0.014066      0.99835 Artery_Coronary
Artery_Tibial                       COVAR   17188   -0.0089212    -0.018357     0.011895      0.77336 Artery_Tibial
Bladder                             COVAR   17188    -0.045927    -0.089442      0.01545      0.99852 Bladder
Brain_Amygdala                      COVAR   17188     0.024226     0.041224    0.0093226    0.0046844 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17188     0.028854     0.050922    0.0085918   0.00039295 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17188     0.030194     0.052095    0.0093539   0.00062454 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17188     0.041714     0.083659    0.0072173   3.8088e-09 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17188     0.044546     0.088369    0.0074439   1.1092e-09 Brain_Cerebellum
Brain_Cortex                        COVAR   17188     0.035464     0.064617    0.0084884   1.4784e-05 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17188     0.034118     0.062814    0.0081924   1.5675e-05 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17188     0.025666      0.04341    0.0094694    0.0033639 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17188     0.027405     0.047104    0.0096185    0.0021941 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17188     0.031386     0.054396    0.0090393   0.00025883 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17188     0.028326     0.048147    0.0094259    0.0013292 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17188     0.013119     0.023548     0.010213     0.099495 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17188     0.018458     0.031731     0.010176     0.034857 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17188    -0.031941    -0.061365     0.015009      0.98333 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17188   -0.0066035    -0.014143    0.0077108       0.8041 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17188     0.002559    0.0055779    0.0058353       0.3305 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17188   -0.0060435    -0.011837      0.01438      0.66286 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17188    -0.011166    -0.022088     0.013683      0.79276 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17188   -0.0051206     -0.01001     0.014824      0.63511 Colon_Sigmoid
Colon_Transverse                    COVAR   17188    -0.049658    -0.091206     0.013571      0.99987 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17188    -0.017324    -0.034076     0.015134      0.87382 Esophagus_Gastroesophageal_Junction
