annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	28	0.0301724137931034	3.23651605186099	1.1528650523695e-07
UTR5	71546	0.00285251910856087	8	0.00862068965517241	3.02213213201634	0.00583400930861517
downstream	284177	0.0113300579027968	14	0.0150862068965517	1.33152072354615	0.27424567442611
exonic	254736	0.0101562534263042	9	0.00969827586206897	0.954906839657122	1
intergenic	11684523	0.465858680176655	172	0.185344827586207	0.397856335994262	1.11312439789805e-71
intronic	9137749	0.364319509570527	623	0.671336206896552	1.84271275421936	7.01397771651699e-80
ncRNA_exonic	259951	0.0103641740249561	8	0.00862068965517241	0.831777779340108	0.745441793185752
ncRNA_intronic	2884355	0.114998431126451	51	0.0549568965517241	0.477892576563015	4.9765962658618e-10
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.00107758620689655	9.55041808821738	0.0994191229348716
upstream	266686	0.0106326966005879	14	0.0150862068965517	1.41885050079559	0.196098441565767
