# MEAN_SAMPLE_SIZE = 45850
# TOTAL_GENES = 17187
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17187    -0.022766    -0.045391     0.011236      0.97862 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17187    -0.028584    -0.055462     0.011631        0.993 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17187   -0.0093589    -0.018044     0.010491      0.81383 Adrenal_Gland
Artery_Aorta                        COVAR   17187    -0.019447    -0.039659     0.010688      0.96557 Artery_Aorta
Artery_Coronary                     COVAR   17187    -0.034765    -0.069143     0.012392      0.99749 Artery_Coronary
Artery_Tibial                       COVAR   17187      -0.0157    -0.032304     0.010507      0.93244 Artery_Tibial
Bladder                             COVAR   17187    -0.033148    -0.064549       0.0136       0.9926 Bladder
Brain_Amygdala                      COVAR   17187     0.016484     0.028048    0.0082341     0.022656 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17187     0.018831     0.033231    0.0075796     0.006493 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17187     0.012109      0.02089    0.0082453     0.070988 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17187     0.018872     0.037845    0.0063474    0.0014757 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17187     0.019747      0.03917    0.0065532     0.001294 Brain_Cerebellum
Brain_Cortex                        COVAR   17187     0.016874     0.030743    0.0074919     0.012156 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17187     0.018036     0.033203    0.0072288    0.0063021 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17187     0.018875     0.031923    0.0083646     0.012024 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17187     0.018238     0.031346    0.0084788     0.015743 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17187     0.013782     0.023884    0.0079551      0.04161 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17187     0.012345     0.020981    0.0083169     0.068872 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17187     0.011922     0.021398    0.0090224     0.093191 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17187     0.016064     0.027614    0.0089809      0.03684 Brain_Substantia_nigra
