annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	114	0.00660563217058755	0.708568916606953	0.000118306906295088
UTR5	71546	0.00285251910856087	30	0.00173832425541778	0.609399688226728	0.00420557650244648
downstream	284177	0.0113300579027968	106	0.00614207903580948	0.542104823161876	2.48141901595149e-12
exonic	254736	0.0101562534263042	68	0.00394020164561363	0.387958184994547	2.90397719474887e-20
intergenic	11684523	0.465858680176655	5377	0.311565650712713	0.668798637806998	0
intronic	9137749	0.364319509570527	8216	0.476069069417082	1.30673504138795	2.41373009358218e-197
ncRNA_exonic	259951	0.0103641740249561	127	0.00735890601460192	0.710033042370986	4.79627786133369e-05
ncRNA_intronic	2884355	0.114998431126451	3110	0.180206281144976	1.56703251844213	1.01503433099912e-138
ncRNA_splicing	1313	5.23489445886621e-05	2	0.000115888283694518	2.21376542746227	0.228762834380264
splicing	2830	0.00011283131240359	2	0.000115888283694518	1.02709328843038	0.722187094041405
upstream	266686	0.0106326966005879	106	0.00614207903580948	0.577659578424336	6.29642334607798e-10
