# MEAN_SAMPLE_SIZE = 104708
# TOTAL_GENES = 17093
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17093    -0.045176    -0.088639      0.01728      0.99553
Adrenal_Gland       COVAR   17093    0.0050989    0.0098335     0.013309      0.35082
Bladder             COVAR   17093    -0.022139    -0.043129     0.020707      0.85749
Blood               COVAR   17093   -0.0096267    -0.017245    0.0080076      0.88535
Blood_Vessel        COVAR   17093    -0.015561    -0.031561     0.015228      0.84657
Brain               COVAR   17093     0.073871      0.12821    0.0088337   3.3187e-17
Breast              COVAR   17093    -0.059218     -0.11382     0.020538      0.99803
Cervix_Uteri        COVAR   17093     0.021325     0.041883     0.018368      0.12284
Colon               COVAR   17093     0.023998     0.044887     0.020296      0.11854
Esophagus           COVAR   17093    -0.012511    -0.023554     0.021931      0.71582
Fallopian_Tube      COVAR   17093    -0.016977    -0.032923     0.017918      0.82829
Heart               COVAR   17093    0.0039578    0.0068078     0.012288      0.37369
Kidney              COVAR   17093    -0.034081    -0.059903     0.012228      0.99734
Liver               COVAR   17093    -0.015044    -0.027082    0.0083782      0.96371
Lung                COVAR   17093    -0.058633     -0.11333     0.013657      0.99999
Muscle              COVAR   17093     0.023996     0.045393    0.0088078    0.0032244
Nerve               COVAR   17093     0.009265     0.018639     0.013497      0.24622
Ovary               COVAR   17093     0.038844     0.078729     0.013186    0.0016123
Pancreas            COVAR   17093    -0.001927   -0.0032209     0.011234       0.5681
Pituitary           COVAR   17093     0.055284      0.10296     0.010638   1.0256e-07
Prostate            COVAR   17093    -0.021237    -0.040265     0.017746      0.88428
Salivary_Gland      COVAR   17093    -0.049412    -0.091933      0.01385      0.99982
Skin                COVAR   17093   -0.0026521   -0.0050558     0.013016      0.58072
Small_Intestine     COVAR   17093    -0.032388    -0.059509     0.013818      0.99045
Spleen              COVAR   17093    -0.025772    -0.051044     0.010172      0.99435
Stomach             COVAR   17093    -0.024756    -0.044941     0.017472      0.92173
Testis              COVAR   17093    0.0070492     0.012163    0.0071738       0.1629
Thyroid             COVAR   17093    -0.026239    -0.051953     0.013958      0.96993
Uterus              COVAR   17093     0.028469     0.057992     0.015507     0.033194
Vagina              COVAR   17093    -0.016013    -0.030613     0.016337      0.83648
