Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Isocortical_excitatory_c1	1.1221536946e-07	4.51398277669e-08	0.00646029999947
Striatal_astrocyte_c16	7.15255716226e-08	6.81265645679e-08	0.146883761894
Hippocampal_excitatory_c3-4	5.04151506612e-08	5.2769529873e-08	0.169691837546
Neurons_c7	5.56931199345e-08	7.50178283871e-08	0.228922977515
Oligodendrocyte_c19-23	2.786522949e-08	4.3956502221e-08	0.263064113934
Nigral_neurons_c5-6	4.34401167841e-08	8.39045753451e-08	0.302322496163
Striatal_inhibitory_c2_12	1.48713012438e-08	4.19636147964e-08	0.361524958496
Isocortical_astrocyte_c15	-1.05069214814e-10	4.61706403718e-08	0.500907860832
OPC_c8-9	-5.7094273206e-10	5.76909406292e-08	0.503948097829
Astrocyte_c13_17	-2.42542098444e-08	7.03062189182e-08	0.634945138717
Nigral_astrocyte_c14	-2.07179193457e-08	5.32547922923e-08	0.651374464032
Isocortical_inhibitory_c11	-2.41874245833e-08	5.64562185595e-08	0.665830227144
Microglia_c24	-4.32926030606e-08	5.11157060527e-08	0.801489353904
Nigral_OPC_c10	-1.37624799457e-07	9.70192625831e-08	0.921982054378
