Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Striatal_astrocyte_c16	2.52216068176e-07	3.58523631612e-07	0.240876713871
Isocortical_astrocyte_c15	1.0109538531e-07	2.63440998253e-07	0.350582012541
Astrocyte_c13_17	-4.79492089164e-08	3.52661096711e-07	0.554075124795
Nigral_astrocyte_c14	-1.10675618039e-07	2.61664778174e-07	0.663840403182
Oligodendrocyte_c19-23	-2.17029062479e-07	2.48637150606e-07	0.808634293861
Nigral_OPC_c10	-4.67893627732e-07	5.05943448922e-07	0.822463547096
Microglia_c24	-2.91349447036e-07	3.10405214059e-07	0.82603449918
OPC_c8-9	-5.56739232132e-07	2.57467409824e-07	0.984705080593
Nigral_neurons_c5-6	-9.30308837553e-07	4.18604759433e-07	0.986871987995
Neurons_c7	-9.88878402465e-07	3.26797444937e-07	0.998760804733
Hippocampal_excitatory_c3-4	-7.27248170518e-07	2.30915626723e-07	0.999181999804
Isocortical_excitatory_c1	-8.32540259198e-07	1.92575054684e-07	0.99999231085
Striatal_inhibitory_c2_12	-8.84572433895e-07	1.87775641107e-07	0.999998766234
Isocortical_inhibitory_c11	-1.26383040313e-06	2.45257935298e-07	0.999999871869
