Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Isocortical_excitatory_c1	7.0685849613e-07	1.94407097062e-07	0.00013846794017
Striatal_inhibitory_c2_12	6.30841808745e-07	1.7921777838e-07	0.000215795057943
Isocortical_inhibitory_c11	8.63735859177e-07	2.8844118126e-07	0.0013744949312
Neurons_c7	8.92609912844e-07	3.42664166251e-07	0.00459489633853
Hippocampal_excitatory_c3-4	5.08591549584e-07	2.35977242059e-07	0.015570873157
Nigral_neurons_c5-6	8.04810809991e-07	3.77739048077e-07	0.0165610554242
Striatal_astrocyte_c16	3.65664517077e-07	3.38786256632e-07	0.140218778519
Isocortical_astrocyte_c15	1.99857972281e-07	2.12431997486e-07	0.173401329129
Astrocyte_c13_17	2.69921332826e-07	3.60965482541e-07	0.227297633525
OPC_c8-9	1.44840828946e-07	2.39385752056e-07	0.272572221823
Oligodendrocyte_c19-23	1.18361554956e-07	2.23354821434e-07	0.298081576077
Microglia_c24	5.68738470326e-08	2.34073126999e-07	0.404012499641
Nigral_astrocyte_c14	4.19058833246e-08	2.58627802198e-07	0.435640474488
Nigral_OPC_c10	-1.87783085821e-07	3.97514488429e-07	0.681676871685
