Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Isocortical_excitatory_c1	4.68248684296e-07	1.3127460907e-07	0.00018058690895
Isocortical_inhibitory_c11	3.53425694653e-07	1.77875425981e-07	0.0234651786902
Neurons_c7	4.59769787221e-07	2.59574900363e-07	0.0382602910136
Hippocampal_excitatory_c3-4	2.55528785492e-07	1.4548720896e-07	0.0395129682457
Striatal_inhibitory_c2_12	1.67399756007e-07	1.17668244028e-07	0.0774200180337
Oligodendrocyte_c19-23	1.66075017932e-07	1.33076519393e-07	0.106021690579
OPC_c8-9	1.48039089185e-07	1.55889270078e-07	0.17114694661
Striatal_astrocyte_c16	1.44093984029e-07	2.06162766076e-07	0.242296916022
Astrocyte_c13_17	1.23577006569e-07	1.93975880728e-07	0.262038294222
Nigral_astrocyte_c14	9.83870492281e-08	1.65350222827e-07	0.275914324167
Isocortical_astrocyte_c15	5.73305600187e-08	1.40185820438e-07	0.341284071128
Nigral_OPC_c10	6.03036243686e-08	2.79997564364e-07	0.414738664667
Nigral_neurons_c5-6	-1.59348233124e-08	2.6611437037e-07	0.523874238098
Microglia_c24	-3.28735502705e-08	1.64029545444e-07	0.579420957819
