Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Isocortical_excitatory_c1	1.26858234319e-07	1.11145861671e-07	0.126858586434
Hippocampal_excitatory_c3-4	1.03728018268e-07	1.50314688204e-07	0.245074328086
Astrocyte_c13_17	1.13580006913e-07	2.20786539008e-07	0.303474447781
Nigral_neurons_c5-6	-1.83296357749e-08	2.33904556896e-07	0.531230641774
Striatal_inhibitory_c2_12	-1.89558391073e-08	1.24414342074e-07	0.560548719672
Striatal_astrocyte_c16	-4.67271615766e-08	2.38201560879e-07	0.577760068057
OPC_c8-9	-8.06353337318e-08	1.96419844396e-07	0.65928970983
Oligodendrocyte_c19-23	-5.63605729675e-08	1.36789253723e-07	0.659839398644
Isocortical_inhibitory_c11	-1.09163300129e-07	2.03012121947e-07	0.704614172278
Nigral_astrocyte_c14	-1.13023900417e-07	1.78655590842e-07	0.736514207852
Neurons_c7	-2.04956497349e-07	3.07412918634e-07	0.747522583497
Nigral_OPC_c10	-3.34301136144e-07	3.23642550957e-07	0.849182419933
Isocortical_astrocyte_c15	-1.39380245518e-07	1.33961924499e-07	0.850933798267
Microglia_c24	-3.25880808019e-07	1.76982604611e-07	0.967212329096
