Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Astrocyte_c13_17	4.41936205426e-07	4.93725349727e-07	0.185365385289
Striatal_astrocyte_c16	2.69084926257e-07	4.63796752613e-07	0.280897109387
Nigral_OPC_c10	3.11835008375e-07	6.41026485726e-07	0.313319830569
Oligodendrocyte_c19-23	1.08347356028e-07	2.86183959043e-07	0.352494914662
Nigral_astrocyte_c14	7.21838374102e-08	3.7880241768e-07	0.424435942616
Neurons_c7	3.82610561343e-08	4.9213522502e-07	0.469015446315
Isocortical_inhibitory_c11	-4.27898723449e-08	3.69442907415e-07	0.546103467321
OPC_c8-9	-1.9127638902e-07	3.35336996048e-07	0.715796953529
Microglia_c24	-2.44082612418e-07	3.60798884689e-07	0.750640282923
Isocortical_excitatory_c1	-2.10245879915e-07	2.65029192146e-07	0.786196517491
Striatal_inhibitory_c2_12	-2.26680669107e-07	2.43294137603e-07	0.824257947488
Nigral_neurons_c5-6	-5.98297062845e-07	5.27093929228e-07	0.8718304055
Isocortical_astrocyte_c15	-4.32221027245e-07	3.16843900006e-07	0.91373903547
Hippocampal_excitatory_c3-4	-5.78461028533e-07	3.2922033141e-07	0.960546507067
