Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Striatal_astrocyte_c16	5.3999932199e-06	1.84508458931e-06	0.00171294309694
Striatal_inhibitory_c2_12	2.45580133542e-06	8.97855929228e-07	0.00311726903434
Isocortical_astrocyte_c15	2.98262509804e-06	1.16350778322e-06	0.00518148274132
Nigral_astrocyte_c14	3.0714386332e-06	1.43892148351e-06	0.0163992114242
Nigral_neurons_c5-6	3.50363115148e-06	2.12426477845e-06	0.0495391788374
Oligodendrocyte_c19-23	1.48020019917e-06	1.1028057338e-06	0.0897634702771
Astrocyte_c13_17	2.07260573863e-06	1.7454784027e-06	0.117532152378
OPC_c8-9	1.7714385924e-06	1.50196748932e-06	0.119117064714
Nigral_OPC_c10	3.11477551279e-06	2.77128684369e-06	0.130518063215
Neurons_c7	1.841759715e-06	1.97907278334e-06	0.176025736072
Isocortical_inhibitory_c11	1.09051903979e-06	1.33107407787e-06	0.206314054005
Hippocampal_excitatory_c3-4	2.02212700163e-07	1.18133505736e-06	0.432043857068
Microglia_c24	1.75420541782e-07	1.27115196e-06	0.445119720305
Isocortical_excitatory_c1	7.51166749782e-08	9.51242696754e-07	0.468529480386
