Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Striatal_inhibitory_c2_12	9.53201683786e-07	9.75442817786e-07	0.164235337304
Nigral_neurons_c5-6	1.2582240652e-06	2.31130388498e-06	0.293090530291
Isocortical_excitatory_c1	4.51540549578e-07	1.11236124195e-06	0.342397099585
Astrocyte_c13_17	6.71127117486e-08	1.82931006818e-06	0.485367109839
Hippocampal_excitatory_c3-4	-2.35426812367e-07	1.39384041564e-06	0.567064372438
Striatal_astrocyte_c16	-7.25902097583e-07	1.89911472051e-06	0.648855293442
Neurons_c7	-8.27490790956e-07	1.9800010865e-06	0.661998808536
Nigral_astrocyte_c14	-9.38231842018e-07	1.43128231458e-06	0.743932966739
Microglia_c24	-8.36888677569e-07	1.2720938594e-06	0.744693280026
Isocortical_astrocyte_c15	-8.65795632098e-07	1.17360921649e-06	0.76965785796
Isocortical_inhibitory_c11	-1.33489220039e-06	1.40879914005e-06	0.828317916545
Oligodendrocyte_c19-23	-1.17695842127e-06	1.10144830326e-06	0.857364950054
OPC_c8-9	-1.69102151751e-06	1.46883532881e-06	0.875188778053
Nigral_OPC_c10	-5.05709746692e-06	2.41494139078e-06	0.981873886292
