Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Striatal_inhibitory_c2_12	1.53583530935e-07	4.96973927652e-08	0.00099952297699
Hippocampal_excitatory_c3-4	1.32780855875e-07	7.72809543379e-08	0.0428839401892
Isocortical_excitatory_c1	8.87118428901e-08	5.3487234099e-08	0.0486021384627
OPC_c8-9	8.90505662634e-08	6.50097571742e-08	0.0853741886061
Isocortical_inhibitory_c11	1.00093309254e-07	8.07840799933e-08	0.107668545021
Oligodendrocyte_c19-23	5.57022497802e-08	6.06643068881e-08	0.179255862574
Astrocyte_c13_17	6.12387775334e-08	8.65893830181e-08	0.239711175691
Nigral_neurons_c5-6	3.30483612373e-08	1.0437568982e-07	0.37576259707
Microglia_c24	-1.54966908295e-08	6.66075513163e-08	0.591985989381
Isocortical_astrocyte_c15	-1.57905691206e-08	5.86850684109e-08	0.606063257533
Neurons_c7	-4.02334103423e-08	8.85348913599e-08	0.675242348674
Striatal_astrocyte_c16	-4.12036296452e-08	7.58836380503e-08	0.706429719116
Nigral_OPC_c10	-8.12481171036e-08	1.18073087205e-07	0.754310496544
Nigral_astrocyte_c14	-6.3015948991e-08	6.72783791385e-08	0.825529369576
