Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Isocortical_excitatory_c1	9.42960618909e-08	2.87348414528e-08	0.00051611192737
Striatal_inhibitory_c2_12	6.87903956546e-08	2.77249250873e-08	0.00654750017838
Oligodendrocyte_c19-23	4.17174581288e-08	3.02586570335e-08	0.0839944111334
Isocortical_inhibitory_c11	4.93816416056e-08	3.76861928299e-08	0.0950407989304
Nigral_neurons_c5-6	7.34783482863e-08	6.03648320851e-08	0.111756898472
Neurons_c7	4.21768937617e-08	5.39784687754e-08	0.217293884241
Hippocampal_excitatory_c3-4	2.51570579319e-08	3.51556986661e-08	0.237122349537
OPC_c8-9	-6.10819913107e-09	3.99467606698e-08	0.560764782433
Microglia_c24	-1.39094045914e-08	3.51192118031e-08	0.653970557713
Isocortical_astrocyte_c15	-3.46269529341e-08	3.34287817693e-08	0.849862187121
Striatal_astrocyte_c16	-5.5488943422e-08	5.05289166556e-08	0.863933153248
Nigral_OPC_c10	-1.02483855696e-07	6.50135191717e-08	0.942527054131
Nigral_astrocyte_c14	-7.51430449434e-08	4.1501604006e-08	0.964899053164
Astrocyte_c13_17	-1.13167614938e-07	4.86567279717e-08	0.989986374221
