Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+	3.77549496321e-08	1.96534319466e-08	0.0273635866683
NAC_NeuN+	4.37826580717e-08	2.83050470657e-08	0.0609539877494
PUT_NeuN+	2.26018366966e-08	2.44526683457e-08	0.177662566601
OFC_NeuN+	1.65971530592e-08	1.98698556378e-08	0.201776354298
HIPP_NeuN+	1.90088589687e-08	2.44894533142e-08	0.218813701646
MDT_NeuN+	1.48864237287e-08	2.19899734501e-08	0.249214349675
ACC_NeuN+	1.07071291321e-08	2.09749389827e-08	0.30486024474
DLPFC_NeuN+	9.75408061072e-09	2.03623630235e-08	0.315960427684
PVC_NeuN-	1.1334411965e-08	3.06260910262e-08	0.355657692846
ITC_NeuN+	4.00635425958e-09	2.07677695995e-08	0.423513900269
NAC_NeuN-	6.69716098119e-09	4.25003799524e-08	0.437394335442
MDT_NeuN-	2.80281412759e-09	2.50511077117e-08	0.45545775497
ACC_NeuN-	1.12691571535e-09	2.65528010011e-08	0.48307374806
AMY_NeuN+	1.94716309189e-10	3.89628616284e-08	0.498006300312
PMC_NeuN-	-6.38064969831e-09	2.88224729711e-08	0.587600781193
STC_NeuN+	-5.70880476992e-09	2.24740175498e-08	0.600259170166
PMC_NeuN+	-5.17962398774e-09	2.01544797851e-08	0.601409132749
OFC_NeuN-	-1.09457266445e-08	2.94606193361e-08	0.644881407319
STC_NeuN-	-1.4009088654e-08	3.05169376925e-08	0.676904262753
AMY_NeuN-	-2.01107117462e-08	3.55093862687e-08	0.714421782313
PVC_NeuN+	-1.61060860293e-08	2.59328556362e-08	0.732722802691
DLPFC_NeuN-	-1.84760732841e-08	2.59881409571e-08	0.761440058559
INS_NeuN+	-1.94371817934e-08	2.73075900096e-08	0.761701592487
ITC_NeuN-	-2.36937198875e-08	3.03870218264e-08	0.782225550466
PUT_NeuN-	-2.07535098042e-08	2.57810716668e-08	0.789587329878
VLPFC_NeuN-	-3.19217453666e-08	2.91812076567e-08	0.863003754516
HIPP_NeuN-	-3.94894358584e-08	2.89729150893e-08	0.913555223473
INS_NeuN-	-5.14327098605e-08	3.0898813046e-08	0.951999008826
