Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OFC_NeuN+	2.89645002344e-07	9.25304771496e-08	0.000873240534175
DLPFC_NeuN+	2.7077944368e-07	9.51398060515e-08	0.00221276556135
VLPFC_NeuN+	2.36538848236e-07	9.3163710749e-08	0.00555914151562
STC_NeuN+	2.49378933717e-07	1.07129724405e-07	0.00996077760018
MDT_NeuN+	2.17719920079e-07	1.10399121026e-07	0.0242981585738
ITC_NeuN+	1.89272822514e-07	9.76215540671e-08	0.0262602567855
PMC_NeuN+	1.69123662169e-07	9.55204015617e-08	0.0383177681766
PVC_NeuN+	2.23515285236e-07	1.3632474102e-07	0.0505462878504
HIPP_NeuN+	1.85335964888e-07	1.13518424439e-07	0.0512712132165
ACC_NeuN+	1.59281019934e-07	1.07020355356e-07	0.0683326646379
MDT_NeuN-	1.6056703028e-07	1.20478315632e-07	0.0913075355757
ITC_NeuN-	1.8127541274e-07	1.49714950652e-07	0.11298532783
STC_NeuN-	1.58578295952e-07	1.42313106803e-07	0.132577060038
AMY_NeuN+	1.77655136358e-07	1.69666222621e-07	0.147529944279
NAC_NeuN+	9.57051444578e-08	1.04262590923e-07	0.179329302939
INS_NeuN+	1.08827071117e-07	1.3215614003e-07	0.205119407776
DLPFC_NeuN-	9.74727443923e-08	1.22871419575e-07	0.213804260801
PVC_NeuN-	6.08327752208e-08	1.40936277115e-07	0.333004015091
PMC_NeuN-	5.05793694815e-08	1.37282171409e-07	0.356274960608
VLPFC_NeuN-	3.06847882844e-08	1.37699992334e-07	0.411830803263
OFC_NeuN-	2.91497787457e-08	1.34600928689e-07	0.414273888818
ACC_NeuN-	-8.10672790283e-10	1.17605237969e-07	0.502749954815
AMY_NeuN-	-3.86894875409e-08	1.58525917693e-07	0.596406974464
PUT_NeuN-	-4.48033634241e-08	1.24467631962e-07	0.640561460533
HIPP_NeuN-	-7.15121295405e-08	1.46168132625e-07	0.687666118617
PUT_NeuN+	-5.62216643411e-08	9.27974596277e-08	0.727693975245
INS_NeuN-	-1.01196638689e-07	1.40491071873e-07	0.7643318623
NAC_NeuN-	-2.01380656047e-07	1.82440878081e-07	0.865162919028
