Name	Coefficient	Coefficient_std_error	Coefficient_P_value
MDT_NeuN-	7.37637342617e-08	3.95293344392e-08	0.0310171502931
NAC_NeuN+	4.98031456393e-08	3.00020017486e-08	0.0484578205724
PVC_NeuN-	6.84888738494e-08	4.99145818426e-08	0.0850127995616
ACC_NeuN-	4.59946497524e-08	3.53042328154e-08	0.0963200974965
MDT_NeuN+	4.16283567623e-08	3.24217625716e-08	0.0995773795709
NAC_NeuN-	5.25560266575e-08	4.3076909325e-08	0.111222769469
PUT_NeuN+	3.35324392451e-08	2.79894521729e-08	0.115451028822
AMY_NeuN-	5.06350957734e-08	4.77286192063e-08	0.144368609502
OFC_NeuN-	3.57028944936e-08	3.86616071016e-08	0.177880758203
DLPFC_NeuN-	3.79181910583e-08	4.40213427741e-08	0.194520104504
PUT_NeuN-	2.12062917761e-08	3.90574755862e-08	0.293581802278
VLPFC_NeuN-	1.55037694481e-08	4.07826545127e-08	0.351914821671
ITC_NeuN-	1.36959824286e-08	4.63042610367e-08	0.383698157342
PMC_NeuN-	1.1401944888e-08	4.64264952225e-08	0.402999299198
INS_NeuN-	1.06982661225e-08	4.4154588021e-08	0.404277283526
DLPFC_NeuN+	2.55326360017e-09	2.7103826772e-08	0.462473924383
STC_NeuN-	-8.18474816144e-09	5.76001196141e-08	0.556497921901
VLPFC_NeuN+	-1.05364492431e-08	2.72196123949e-08	0.65065533867
ITC_NeuN+	-1.20652951151e-08	2.83344954543e-08	0.664879211267
PMC_NeuN+	-1.085251254e-08	2.50907569529e-08	0.667321981135
PVC_NeuN+	-2.10276008565e-08	4.14832750789e-08	0.693885212799
OFC_NeuN+	-1.26929224809e-08	2.37566415205e-08	0.70342934833
AMY_NeuN+	-3.018043067e-08	4.62754606714e-08	0.742860959569
HIPP_NeuN+	-1.87771619625e-08	2.75206995446e-08	0.752472936087
INS_NeuN+	-3.9170598829e-08	4.65180119361e-08	0.800120659612
ACC_NeuN+	-2.62225590998e-08	3.08343923019e-08	0.802457571033
HIPP_NeuN-	-4.0601876092e-08	4.72217719696e-08	0.805053832823
STC_NeuN+	-3.68124377882e-08	3.14651038475e-08	0.878988428444
