Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+	1.066988817e-06	9.19830037464e-07	0.123027507332
NAC_NeuN-	1.24055763276e-06	1.32173956692e-06	0.173973346681
OFC_NeuN+	3.61850890133e-07	6.87618924223e-07	0.2993615876
PVC_NeuN+	5.32714657516e-07	1.06075781766e-06	0.30776273139
PVC_NeuN-	5.17860276459e-07	1.09447509355e-06	0.318050024507
PUT_NeuN+	2.98499345608e-07	7.5595224514e-07	0.346471132635
VLPFC_NeuN+	2.38071156018e-07	6.91460894512e-07	0.365309705934
ITC_NeuN-	2.39443508874e-07	9.55523164286e-07	0.401065978106
MDT_NeuN+	1.43942116286e-07	7.44867973673e-07	0.423383493937
INS_NeuN+	1.47619552936e-07	1.01241215903e-06	0.442035793629
ACC_NeuN+	8.72974218281e-08	8.17429105424e-07	0.457475768035
AMY_NeuN-	1.11728862583e-07	1.18420997463e-06	0.462416018663
PMC_NeuN-	3.33490879149e-08	9.61517872335e-07	0.486165941791
STC_NeuN+	2.08948114796e-08	7.55043426646e-07	0.488961217864
ACC_NeuN-	1.6002611055e-08	8.69859102736e-07	0.49266115853
AMY_NeuN+	-1.9157857207e-07	1.33611069979e-06	0.557007035882
PMC_NeuN+	-1.25264799962e-07	7.04565104989e-07	0.570556144181
MDT_NeuN-	-1.95751392469e-07	8.1435883084e-07	0.59498016832
INS_NeuN-	-3.14786878232e-07	1.09898188642e-06	0.612727515046
VLPFC_NeuN-	-3.81320537858e-07	9.98007768053e-07	0.648799629732
ITC_NeuN+	-3.56558625536e-07	7.58686704051e-07	0.680811131776
OFC_NeuN-	-5.84253845195e-07	8.9903252131e-07	0.742111750323
DLPFC_NeuN+	-5.02221733693e-07	6.96933735287e-07	0.764427155307
HIPP_NeuN+	-7.3525589239e-07	9.17198935886e-07	0.788617029903
STC_NeuN-	-8.52985992226e-07	9.86453590014e-07	0.806398146425
HIPP_NeuN-	-1.09037540116e-06	9.03760062534e-07	0.886185250976
DLPFC_NeuN-	-1.06862936661e-06	8.41362459771e-07	0.897978649215
PUT_NeuN-	-1.17520196205e-06	8.41972263918e-07	0.918608534171
