Name	Coefficient	Coefficient_std_error	Coefficient_P_value
AMY_NeuN+	2.67592332061e-07	2.47761483888e-07	0.140062167065
ITC_NeuN-	1.9517861395e-07	2.07676749054e-07	0.17365513231
PUT_NeuN-	1.29932825759e-07	1.70943513781e-07	0.223599747344
AMY_NeuN-	1.58867515754e-07	2.31143104646e-07	0.245942951735
HIPP_NeuN-	7.62493378611e-08	1.92729569326e-07	0.346189501994
DLPFC_NeuN-	6.7060937235e-08	1.74002369228e-07	0.34996963846
INS_NeuN-	6.4196101602e-08	1.94143630545e-07	0.370449553292
PVC_NeuN-	7.01312299579e-08	2.19806418981e-07	0.374840862982
INS_NeuN+	2.90308731232e-08	1.83313806529e-07	0.437083774526
MDT_NeuN-	2.39374590542e-08	1.61279080887e-07	0.441004636253
NAC_NeuN-	3.19994250947e-08	2.34234915646e-07	0.445668534825
OFC_NeuN-	1.85033482527e-08	1.84105995262e-07	0.459972191428
PMC_NeuN-	8.17377602928e-09	1.84051030462e-07	0.482288644259
PVC_NeuN+	5.72102715405e-09	1.82659499315e-07	0.487506882908
MDT_NeuN+	-3.04092796069e-09	1.3915428819e-07	0.508717361145
ACC_NeuN-	-1.01271884641e-08	1.72189210477e-07	0.523449992134
STC_NeuN-	-1.25334120637e-08	1.96663631534e-07	0.525407470226
OFC_NeuN+	-6.85649322572e-08	1.35798344951e-07	0.693186362648
VLPFC_NeuN-	-1.24577032504e-07	1.97397105768e-07	0.736011964157
HIPP_NeuN+	-1.12235965394e-07	1.66508586833e-07	0.749861864301
PUT_NeuN+	-9.3772372523e-08	1.35947965701e-07	0.754829526975
ACC_NeuN+	-1.41215979738e-07	1.49029862749e-07	0.828325375083
STC_NeuN+	-1.55872071951e-07	1.39554166346e-07	0.867987622027
VLPFC_NeuN+	-1.76930917121e-07	1.27584054719e-07	0.917245453776
ITC_NeuN+	-2.26092787321e-07	1.42110110868e-07	0.944191728775
NAC_NeuN+	-2.98873679239e-07	1.45997982918e-07	0.979676272754
PMC_NeuN+	-3.05808610795e-07	1.33942978268e-07	0.988788507502
DLPFC_NeuN+	-2.90311619189e-07	1.26332124283e-07	0.989219194996
