Name	Coefficient	Coefficient_std_error	Coefficient_P_value
MDT_NeuN+	4.30183600255e-07	4.7671751862e-07	0.183425713017
NAC_NeuN-	7.24913503198e-07	8.88006827237e-07	0.207153492089
PVC_NeuN+	3.90331635817e-07	6.2036256835e-07	0.264609324105
PUT_NeuN+	2.71463192502e-07	4.41275077675e-07	0.269218233766
INS_NeuN-	3.18204825254e-07	6.63735181659e-07	0.315821592679
PMC_NeuN-	2.98775937513e-07	6.8040241198e-07	0.330288555715
STC_NeuN+	2.12830311983e-07	4.86908759981e-07	0.331017557149
HIPP_NeuN-	2.4660675437e-07	6.54986050984e-07	0.353270050898
OFC_NeuN-	2.12747647413e-07	6.62517592556e-07	0.374059728331
PUT_NeuN-	1.09550051262e-07	5.80522527301e-07	0.425160296337
VLPFC_NeuN-	8.12344040864e-08	6.47583142701e-07	0.450086648915
MDT_NeuN-	2.60043063948e-08	5.54389608632e-07	0.481293995816
AMY_NeuN-	-2.81104881335e-08	8.33173249289e-07	0.513457387159
ITC_NeuN-	-5.61439902067e-08	6.60177522368e-07	0.533886706261
ITC_NeuN+	-6.41171993738e-08	4.71222024201e-07	0.554115366207
VLPFC_NeuN+	-6.74673479096e-08	3.88913660267e-07	0.568861517929
AMY_NeuN+	-2.20710875818e-07	8.55242934253e-07	0.601822805283
STC_NeuN-	-1.91507549091e-07	6.56755839836e-07	0.614702333777
PVC_NeuN-	-2.33343548126e-07	7.50566882084e-07	0.622057780409
OFC_NeuN+	-1.48364833674e-07	4.23398911695e-07	0.636985925115
INS_NeuN+	-2.3462318995e-07	6.58259104028e-07	0.639240658749
PMC_NeuN+	-1.76107969551e-07	4.3633387753e-07	0.656749605169
ACC_NeuN+	-2.11788913554e-07	4.9208578156e-07	0.666544100079
DLPFC_NeuN-	-2.86502099766e-07	5.92760397437e-07	0.685571205288
DLPFC_NeuN+	-2.45452240785e-07	4.53458457911e-07	0.70584592522
ACC_NeuN-	-3.80461562194e-07	5.65289958632e-07	0.749538407705
NAC_NeuN+	-4.53375225048e-07	5.38513722375e-07	0.800078306236
HIPP_NeuN+	-7.47412475801e-07	5.5312849423e-07	0.911691623299
