Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+	8.73649106616e-07	5.73311218952e-07	0.0637711742118
NAC_NeuN+	8.24230887209e-07	7.00137868062e-07	0.119549697456
ITC_NeuN+	6.34004064673e-07	5.80740216819e-07	0.137478718443
PMC_NeuN+	4.55937224228e-07	5.32406599255e-07	0.195896480606
DLPFC_NeuN+	3.26400355363e-07	5.18513104462e-07	0.264513184046
ACC_NeuN+	3.33350771014e-07	6.03121095683e-07	0.29023116688
INS_NeuN+	4.50218142002e-07	8.23263131285e-07	0.292233926379
MDT_NeuN+	1.874231882e-07	6.08871089193e-07	0.379109345217
HIPP_NeuN-	1.79821697355e-07	7.79039148245e-07	0.40872538622
OFC_NeuN+	5.35541903736e-08	4.94988221823e-07	0.456921355113
PVC_NeuN+	6.35181813394e-08	7.82465007492e-07	0.467650585368
STC_NeuN+	1.95136189257e-09	5.63605299547e-07	0.498618751086
VLPFC_NeuN-	2.10958753058e-09	8.17803216963e-07	0.498970898244
ITC_NeuN-	-9.51409521528e-08	8.42832927212e-07	0.544938080842
HIPP_NeuN+	-8.254382783e-08	7.23917207967e-07	0.545390556793
AMY_NeuN-	-1.54929652547e-07	9.2215167063e-07	0.566711846246
PVC_NeuN-	-2.64754075918e-07	8.83445927201e-07	0.617790667666
INS_NeuN-	-2.76008676749e-07	8.40868791246e-07	0.628635753239
PMC_NeuN-	-3.79466704155e-07	8.11548200153e-07	0.679958835544
VLPFC_NeuN+	-2.76064760797e-07	5.12467838445e-07	0.704951942862
AMY_NeuN+	-5.98896054475e-07	1.01037965397e-06	0.723323614777
STC_NeuN-	-4.97959176e-07	8.0725106343e-07	0.731335763095
ACC_NeuN-	-5.695618705e-07	7.0847406397e-07	0.789280612156
MDT_NeuN-	-8.13769272372e-07	6.7866580308e-07	0.884750056434
NAC_NeuN-	-1.4089345044e-06	1.10997158011e-06	0.897840597628
OFC_NeuN-	-9.64107952146e-07	7.46035986116e-07	0.901874674231
PUT_NeuN-	-1.03690925172e-06	7.13197361107e-07	0.927011352274
DLPFC_NeuN-	-1.08163367538e-06	7.08965696552e-07	0.936451501765
