Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+	6.05689273772e-07	1.12569278947e-07	3.71208038179e-08
OFC_NeuN+	6.17851609275e-07	1.21610532023e-07	1.88145595614e-07
STC_NeuN+	6.3853788759e-07	1.3083828733e-07	5.29462973421e-07
NAC_NeuN+	6.72669978628e-07	1.41294166655e-07	9.6424658525e-07
DLPFC_NeuN+	5.49873889883e-07	1.16081472659e-07	1.08471230132e-06
ACC_NeuN+	6.22595307497e-07	1.33152162196e-07	1.4639192956e-06
ITC_NeuN+	5.41982078761e-07	1.16406505408e-07	1.61250411765e-06
PUT_NeuN+	5.43481782071e-07	1.22759620907e-07	4.7731404997e-06
HIPP_NeuN+	6.14195752331e-07	1.51537433241e-07	2.52721331757e-05
PMC_NeuN+	4.16771024769e-07	1.13790751489e-07	0.000124829756639
INS_NeuN+	4.95692005371e-07	1.5976029008e-07	0.000958743516569
MDT_NeuN+	3.66878326222e-07	1.27493522006e-07	0.0020034166188
PVC_NeuN+	3.89141955282e-07	1.65812625394e-07	0.00946573346902
AMY_NeuN+	4.42601223045e-07	2.07302314215e-07	0.0163783809214
PVC_NeuN-	2.50723139412e-07	1.63851063072e-07	0.0629849426525
OFC_NeuN-	1.86357483105e-07	1.37433387168e-07	0.0875521189751
STC_NeuN-	2.02433181675e-07	1.65230144468e-07	0.110257678716
MDT_NeuN-	1.1605188689e-07	1.19542409541e-07	0.165823700258
PUT_NeuN-	7.63149153369e-08	1.25348144466e-07	0.271320666579
HIPP_NeuN-	7.45111350715e-08	1.54051987646e-07	0.31430817711
ITC_NeuN-	5.99241475457e-08	1.47284053286e-07	0.342055014922
PMC_NeuN-	5.87761205915e-08	1.5414736475e-07	0.351490975615
VLPFC_NeuN-	4.08872171511e-08	1.39142226664e-07	0.384435511176
AMY_NeuN-	1.87040430941e-08	1.67449467228e-07	0.455530787395
DLPFC_NeuN-	1.34937390708e-08	1.36563738402e-07	0.460644924496
NAC_NeuN-	-2.37280261819e-08	1.94491173999e-07	0.548550700479
INS_NeuN-	-6.70886979038e-08	1.73017630735e-07	0.650901852318
ACC_NeuN-	-9.39774770499e-08	1.47710911389e-07	0.737685335642
