Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_NeuN+	7.91932687368e-08	1.80016347961e-08	5.43186991643e-06
VLPFC_NeuN+	6.65339093431e-08	1.55154094704e-08	9.00443526692e-06
PUT_NeuN+	7.35821483324e-08	1.73004150201e-08	1.05367970211e-05
NAC_NeuN+	8.99966442912e-08	2.14965794298e-08	1.41609229848e-05
DLPFC_NeuN+	6.61964039639e-08	1.72002585967e-08	5.94046074693e-05
ITC_NeuN+	4.99188973292e-08	1.60552773131e-08	0.000938007221498
OFC_NeuN+	4.50881949569e-08	1.56737290429e-08	0.00200945840571
MDT_NeuN+	4.72369863128e-08	1.78481963699e-08	0.00406530690903
ACC_NeuN+	4.4560229887e-08	1.73874806069e-08	0.0051919406946
PMC_NeuN+	4.16099325731e-08	1.63317685095e-08	0.00542037007163
HIPP_NeuN+	4.57808090203e-08	2.0408679404e-08	0.0124418663832
OFC_NeuN-	3.49852178254e-08	2.20711183729e-08	0.056470325207
MDT_NeuN-	2.966362437e-08	2.16550678517e-08	0.0853709767515
AMY_NeuN+	4.38201710572e-08	3.58421698428e-08	0.110742862014
INS_NeuN+	2.59731714019e-08	2.20961538711e-08	0.119905126948
STC_NeuN-	3.01359791231e-08	2.67142258542e-08	0.12964152441
VLPFC_NeuN-	2.35358447316e-08	2.27604995364e-08	0.150552798434
PMC_NeuN-	2.47087299991e-08	2.39027962989e-08	0.150634211163
ACC_NeuN-	1.72481635245e-08	2.20720988029e-08	0.217269976667
ITC_NeuN-	1.48748559011e-08	2.29154457034e-08	0.258130664602
PVC_NeuN-	1.37568153835e-08	2.53063619314e-08	0.293354612417
DLPFC_NeuN-	7.96854531583e-09	2.03926553662e-08	0.347988929694
INS_NeuN-	3.98390998998e-09	2.48324374441e-08	0.43627051262
PUT_NeuN-	2.73790414961e-09	1.7841419091e-08	0.439018650478
HIPP_NeuN-	1.03467727605e-09	2.36331636081e-08	0.482539591751
NAC_NeuN-	3.25707283277e-10	3.02069918056e-08	0.495698483007
AMY_NeuN-	-6.93862856454e-09	2.52154029158e-08	0.608408799891
PVC_NeuN+	-7.81418817892e-09	2.22990820067e-08	0.636990661031
