Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+	6.76719029829e-08	1.90391874444e-08	0.000189458539197
PUT_NeuN+	4.64144778083e-08	1.60156955404e-08	0.00187738209344
MDT_NeuN+	1.32093241013e-08	1.69279015016e-08	0.21759876878
HIPP_NeuN+	8.65048953203e-09	1.94703913762e-08	0.328416662853
OFC_NeuN+	6.97699392905e-09	1.59554743115e-08	0.330954509792
VLPFC_NeuN+	3.62170371011e-09	1.42804836862e-08	0.399897617022
STC_NeuN+	3.89782308286e-09	1.59951139881e-08	0.403736094826
HIPP_NeuN-	2.89631588887e-09	2.24425778237e-08	0.448657258254
MDT_NeuN-	2.41737819826e-09	2.20540521142e-08	0.456358736608
PUT_NeuN-	-4.70456001617e-10	2.08974363253e-08	0.508980476587
PVC_NeuN-	-9.00862840847e-10	2.57674332766e-08	0.513944698018
DLPFC_NeuN+	-1.32056146923e-09	1.51432782497e-08	0.534745504605
PMC_NeuN-	-2.70111734243e-09	2.29813027599e-08	0.546782115937
PMC_NeuN+	-2.10798217313e-09	1.51320023385e-08	0.555395915818
VLPFC_NeuN-	-3.8961301409e-09	2.32317490671e-08	0.566593159692
ACC_NeuN+	-3.32622431748e-09	1.81331681971e-08	0.572770919776
OFC_NeuN-	-6.00868851554e-09	2.48906539237e-08	0.595378761546
STC_NeuN-	-1.01433185792e-08	2.80234956264e-08	0.641308160405
AMY_NeuN-	-1.05152389511e-08	2.7412512486e-08	0.649359814455
DLPFC_NeuN-	-1.1998572173e-08	2.29219010415e-08	0.699670995667
ACC_NeuN-	-1.19733465647e-08	2.01003988667e-08	0.724304508039
INS_NeuN+	-1.30980172247e-08	2.16941024357e-08	0.726998176068
ITC_NeuN-	-1.47547235971e-08	2.37501064048e-08	0.732782011385
INS_NeuN-	-1.54181322145e-08	2.45387572403e-08	0.735102036616
PVC_NeuN+	-1.4275393737e-08	2.21207193034e-08	0.740646689773
ITC_NeuN+	-1.15616004707e-08	1.56282532033e-08	0.770285801387
AMY_NeuN+	-3.20698792586e-08	2.88967320064e-08	0.866459523841
NAC_NeuN-	-4.53470912831e-08	2.96875441242e-08	0.936678990013
