Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+	4.70435134949e-08	1.33483200621e-08	0.000212299862682
STC_NeuN+	5.06029828518e-08	1.49231466895e-08	0.000348310356025
OFC_NeuN+	4.31988703539e-08	1.31149304437e-08	0.00049409169795
DLPFC_NeuN+	4.45373777472e-08	1.35589645407e-08	0.000510422070219
ACC_NeuN+	4.79020983223e-08	1.57101731424e-08	0.00114758940963
HIPP_NeuN+	5.03929627504e-08	1.70222663821e-08	0.00153612735482
MDT_NeuN-	5.73554463137e-08	2.04109741879e-08	0.00247684542671
STC_NeuN-	5.52274957109e-08	2.14969283248e-08	0.00509833135402
ITC_NeuN+	3.65805981606e-08	1.45891333675e-08	0.00608137932272
PMC_NeuN+	2.86782110584e-08	1.36896327332e-08	0.0180905927395
NAC_NeuN+	4.04759303308e-08	1.94146315348e-08	0.0185430125493
PUT_NeuN+	3.49612604086e-08	1.7053368609e-08	0.0201769092751
PMC_NeuN-	4.20412354375e-08	2.17315881122e-08	0.0265216636385
MDT_NeuN+	2.76429235447e-08	1.4687455277e-08	0.029912772622
NAC_NeuN-	5.28561193218e-08	2.97244149932e-08	0.0376850519538
PVC_NeuN-	3.72012066867e-08	2.34533501821e-08	0.0563493785119
ITC_NeuN-	3.39994593861e-08	2.1458119451e-08	0.0565449231323
DLPFC_NeuN-	2.53940368756e-08	1.97991322524e-08	0.0998190476339
ACC_NeuN-	2.58147770565e-08	2.04154600972e-08	0.103030337535
OFC_NeuN-	2.54509993924e-08	2.0582680575e-08	0.108131736766
PVC_NeuN+	2.22118879476e-08	1.88824845111e-08	0.119733050354
INS_NeuN-	2.63129454866e-08	2.36153244267e-08	0.132589877807
PUT_NeuN-	1.95184748851e-08	1.7700335065e-08	0.13507486297
AMY_NeuN-	2.7063179655e-08	2.52375061384e-08	0.141783741632
AMY_NeuN+	2.79509226161e-08	2.69410284688e-08	0.149754857585
INS_NeuN+	1.80101774922e-08	2.0610410546e-08	0.191103009411
HIPP_NeuN-	1.61065989365e-08	2.21816816464e-08	0.233882103628
VLPFC_NeuN-	1.08527171111e-08	2.07207710462e-08	0.300222637075
