Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+	3.77549496321e-08	1.96534319466e-08	0.0273635866683
NAC_NeuN+	4.37826580717e-08	2.83050470657e-08	0.0609539877494
PUT_NeuN+	2.26018366966e-08	2.44526683457e-08	0.177662566601
OFC_NeuN+	1.65971530592e-08	1.98698556378e-08	0.201776354298
HIPP_NeuN+	1.90088589687e-08	2.44894533142e-08	0.218813701646
PMC_NeuN-	1.94554568331e-08	2.74307671206e-08	0.239082580116
MDT_NeuN+	1.48864237287e-08	2.19899734501e-08	0.249214349675
ACC_NeuN+	1.07071291321e-08	2.09749389827e-08	0.30486024474
DLPFC_NeuN+	9.75408061072e-09	2.03623630235e-08	0.315960427684
MDT_NeuN-	4.54778367286e-09	2.33645694629e-08	0.422835652898
ITC_NeuN+	4.00635425958e-09	2.07677695995e-08	0.423513900269
NAC_NeuN-	6.69716098119e-09	4.25003799524e-08	0.437394335442
PUT_NeuN-	1.6296806055e-09	2.32934864992e-08	0.472111581756
DLPFC_NeuN-	1.33243641573e-09	2.51500555406e-08	0.478874135777
AMY_NeuN-	9.6634282202e-10	3.60073404798e-08	0.489294717928
AMY_NeuN+	1.94716309189e-10	3.89628616284e-08	0.498006300312
PVC_NeuN-	-5.02061807111e-09	2.95454493388e-08	0.567466872018
OFC_NeuN-	-4.53777229141e-09	2.51366890158e-08	0.571629340279
STC_NeuN+	-5.70880476992e-09	2.24740175498e-08	0.600259170166
PMC_NeuN+	-5.17962398774e-09	2.01544797851e-08	0.601409132749
STC_NeuN-	-1.04374817671e-08	2.73668366e-08	0.648543655751
PVC_NeuN+	-1.61060860293e-08	2.59328556362e-08	0.732722802691
ACC_NeuN-	-1.50147172326e-08	2.40055856195e-08	0.734167913112
INS_NeuN+	-1.94371817934e-08	2.73075900096e-08	0.761701592487
ITC_NeuN-	-2.10276437287e-08	2.83208139991e-08	0.771101778995
VLPFC_NeuN-	-2.4160588908e-08	2.9183656096e-08	0.796130998707
HIPP_NeuN-	-2.81941639026e-08	2.81637417174e-08	0.841605979199
INS_NeuN-	-4.2621383871e-08	2.86156710763e-08	0.9318144991
