Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PVC_NeuN-	5.4102510971e-08	1.51230122241e-07	0.360265367237
STC_NeuN-	4.06036374768e-08	1.535515106e-07	0.395724269724
NAC_NeuN-	3.4711636418e-08	1.93037440588e-07	0.428647665143
ACC_NeuN-	8.25885997628e-09	1.350087249e-07	0.475610800966
AMY_NeuN-	3.85958115221e-09	1.66565957138e-07	0.49075674071
PUT_NeuN-	-4.49919452485e-09	1.35394178357e-07	0.513254548007
HIPP_NeuN-	-8.58195937803e-09	1.46384393277e-07	0.523375075363
OFC_NeuN-	-2.15896812907e-08	1.29806262415e-07	0.566048356877
DLPFC_NeuN-	-2.4663663302e-08	1.28288090597e-07	0.576227657344
VLPFC_NeuN-	-3.15533912369e-08	1.40159623627e-07	0.589058861339
MDT_NeuN-	-4.19335764228e-08	1.39413702732e-07	0.618210847034
ITC_NeuN-	-4.8012131716e-08	1.40591769199e-07	0.633636511425
PMC_NeuN-	-8.32764112992e-08	1.40709946146e-07	0.723017888415
INS_NeuN-	-1.10654764919e-07	1.39923256724e-07	0.785476847468
NAC_NeuN+	-2.27920980525e-07	1.49946054509e-07	0.935747007628
INS_NeuN+	-3.89391134106e-07	1.86966805942e-07	0.981359581272
PUT_NeuN+	-2.79610874306e-07	1.34061989538e-07	0.98149634721
ACC_NeuN+	-3.44247940272e-07	1.62742755623e-07	0.982797332917
STC_NeuN+	-3.33308211655e-07	1.53002960142e-07	0.985313460398
ITC_NeuN+	-3.37070499365e-07	1.48838870186e-07	0.98823344348
HIPP_NeuN+	-3.2609276877e-07	1.39794307766e-07	0.990167035018
AMY_NeuN+	-4.6832547873e-07	1.94889022695e-07	0.991870222772
PVC_NeuN+	-4.68750727488e-07	1.89098777398e-07	0.993409978731
DLPFC_NeuN+	-3.71121956417e-07	1.46065193894e-07	0.994469988883
VLPFC_NeuN+	-3.52987518068e-07	1.35388672405e-07	0.995435912618
PMC_NeuN+	-4.07232318024e-07	1.29878189551e-07	0.999142176075
OFC_NeuN+	-4.17759097944e-07	1.22412475451e-07	0.999678406149
MDT_NeuN+	-4.48984906714e-07	1.24453485547e-07	0.99984550993
