Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OFC_NeuN+	2.89645002344e-07	9.25304771496e-08	0.000873240534175
DLPFC_NeuN+	2.7077944368e-07	9.51398060515e-08	0.00221276556135
VLPFC_NeuN+	2.36538848236e-07	9.3163710749e-08	0.00555914151562
STC_NeuN+	2.49378933717e-07	1.07129724405e-07	0.00996077760018
MDT_NeuN+	2.17719920079e-07	1.10399121026e-07	0.0242981585738
ITC_NeuN+	1.89272822514e-07	9.76215540671e-08	0.0262602567855
AMY_NeuN-	2.81681769696e-07	1.5510540144e-07	0.0346800630608
PMC_NeuN+	1.69123662169e-07	9.55204015617e-08	0.0383177681766
PVC_NeuN+	2.23515285236e-07	1.3632474102e-07	0.0505462878504
HIPP_NeuN+	1.85335964888e-07	1.13518424439e-07	0.0512712132165
ACC_NeuN+	1.59281019934e-07	1.07020355356e-07	0.0683326646379
PVC_NeuN-	1.72844388986e-07	1.33859126387e-07	0.0983100652533
PMC_NeuN-	1.41160619215e-07	1.26649521015e-07	0.132515906057
STC_NeuN-	1.47757350412e-07	1.36322603818e-07	0.139208993472
DLPFC_NeuN-	1.40296312075e-07	1.31781616498e-07	0.143525736207
AMY_NeuN+	1.77655136358e-07	1.69666222621e-07	0.147529944279
MDT_NeuN-	1.24113633915e-07	1.20036875148e-07	0.150576834841
ACC_NeuN-	1.20583582471e-07	1.20991492842e-07	0.15947240849
NAC_NeuN+	9.57051444578e-08	1.04262590923e-07	0.179329302939
VLPFC_NeuN-	1.2362110105e-07	1.38207633319e-07	0.185538102009
ITC_NeuN-	1.15263380648e-07	1.3792422262e-07	0.201661627726
INS_NeuN+	1.08827071117e-07	1.3215614003e-07	0.205119407776
HIPP_NeuN-	5.26218765094e-08	1.48426256236e-07	0.361470065368
OFC_NeuN-	2.39970962764e-08	1.16984390976e-07	0.418734984714
PUT_NeuN-	1.45567633419e-08	1.14962211e-07	0.449619728944
INS_NeuN-	-7.38907841329e-08	1.2795981051e-07	0.71818328032
PUT_NeuN+	-5.62216643411e-08	9.27974596277e-08	0.727693975245
NAC_NeuN-	-2.01380656047e-07	1.82440878081e-07	0.865162919028
