Name	Coefficient	Coefficient_std_error	Coefficient_P_value
STC_NeuN-	2.39660893806e-07	9.05078911612e-08	0.00404900581347
PVC_NeuN-	2.05673035662e-07	9.3240398978e-08	0.0136977397243
PUT_NeuN-	1.50517963934e-07	6.91300334924e-08	0.0147284797245
AMY_NeuN-	2.26318477032e-07	1.06218685333e-07	0.0165575828517
ACC_NeuN-	1.38058283701e-07	6.97220532746e-08	0.0238448204946
INS_NeuN-	1.68755816597e-07	9.40252092045e-08	0.0363433184287
PMC_NeuN-	1.3195707185e-07	8.12172136694e-08	0.0521087016078
DLPFC_NeuN-	1.29612115374e-07	8.49693971308e-08	0.0635799771636
HIPP_NeuN+	1.28473492432e-07	8.52432541768e-08	0.0658874264476
MDT_NeuN-	1.16796223537e-07	8.31581462221e-08	0.0800839195056
OFC_NeuN-	1.06223059405e-07	7.67713996392e-08	0.0832361925621
HIPP_NeuN-	1.19139551693e-07	9.68457151984e-08	0.109311201071
VLPFC_NeuN-	1.00993560107e-07	8.74077367843e-08	0.123957100487
ITC_NeuN-	9.46138757518e-08	8.24151911991e-08	0.125481185724
AMY_NeuN+	1.02599885007e-07	1.31982326672e-07	0.218468502191
ITC_NeuN+	5.31206569327e-08	7.67132981178e-08	0.244325204045
NAC_NeuN-	6.4767320184e-08	1.20912732718e-07	0.296099046876
STC_NeuN+	3.49236101338e-08	6.91428792741e-08	0.306746627743
PUT_NeuN+	4.0039850886e-08	8.10986347887e-08	0.310752696874
VLPFC_NeuN+	2.92428250718e-08	6.36793909e-08	0.323038234793
PVC_NeuN+	1.04238593671e-08	8.81856024826e-08	0.452953152228
NAC_NeuN+	1.09239314949e-08	9.41877330868e-08	0.453834035488
DLPFC_NeuN+	-5.18852488925e-09	6.47541887069e-08	0.531931666824
ACC_NeuN+	-1.66841079582e-08	7.47257036165e-08	0.588337834072
PMC_NeuN+	-3.01653353019e-08	6.5350573232e-08	0.67781321755
OFC_NeuN+	-4.07453559478e-08	6.79806176734e-08	0.725535994758
INS_NeuN+	-5.84689790318e-08	9.12950923718e-08	0.739056529845
MDT_NeuN+	-7.13645998819e-08	6.34505301329e-08	0.86964788377
