Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DLPFC_NeuN-	5.97049187973e-08	3.2520111879e-08	0.033183391483
MDT_NeuN-	6.1333033271e-08	3.5147075108e-08	0.0404889994672
NAC_NeuN+	4.98031456393e-08	3.00020017486e-08	0.0484578205724
PUT_NeuN-	5.02455899188e-08	3.411691696e-08	0.0704096229693
MDT_NeuN+	4.16283567623e-08	3.24217625716e-08	0.0995773795709
NAC_NeuN-	5.25560266575e-08	4.3076909325e-08	0.111222769469
PUT_NeuN+	3.35324392451e-08	2.79894521729e-08	0.115451028822
PMC_NeuN-	4.55475278074e-08	4.03551391828e-08	0.129519094778
PVC_NeuN-	6.14659856202e-08	5.62743247275e-08	0.137360231599
ACC_NeuN-	3.23000820932e-08	3.17998275249e-08	0.154878664808
OFC_NeuN-	2.80343360301e-08	3.52293694977e-08	0.213084015527
STC_NeuN-	3.05054709404e-08	3.94267366e-08	0.219546572604
AMY_NeuN-	2.78242674322e-08	5.04678608113e-08	0.290704948883
ITC_NeuN-	2.07760113489e-08	3.7925106875e-08	0.291908844926
INS_NeuN-	1.46586513944e-08	3.76107436411e-08	0.34836204636
VLPFC_NeuN-	6.08123766253e-09	4.45644051486e-08	0.445729008855
DLPFC_NeuN+	2.55326360017e-09	2.7103826772e-08	0.462473924383
HIPP_NeuN-	-1.1530020511e-08	4.00735264244e-08	0.61322008586
VLPFC_NeuN+	-1.05364492431e-08	2.72196123949e-08	0.65065533867
ITC_NeuN+	-1.20652951151e-08	2.83344954543e-08	0.664879211267
PMC_NeuN+	-1.085251254e-08	2.50907569529e-08	0.667321981135
PVC_NeuN+	-2.10276008565e-08	4.14832750789e-08	0.693885212799
OFC_NeuN+	-1.26929224809e-08	2.37566415205e-08	0.70342934833
AMY_NeuN+	-3.018043067e-08	4.62754606714e-08	0.742860959569
HIPP_NeuN+	-1.87771619625e-08	2.75206995446e-08	0.752472936087
INS_NeuN+	-3.9170598829e-08	4.65180119361e-08	0.800120659612
ACC_NeuN+	-2.62225590998e-08	3.08343923019e-08	0.802457571033
STC_NeuN+	-3.68124377882e-08	3.14651038475e-08	0.878988428444
