Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+	1.066988817e-06	9.19830037464e-07	0.123027507332
NAC_NeuN-	1.24055763276e-06	1.32173956692e-06	0.173973346681
OFC_NeuN+	3.61850890133e-07	6.87618924223e-07	0.2993615876
PVC_NeuN+	5.32714657516e-07	1.06075781766e-06	0.30776273139
PUT_NeuN+	2.98499345608e-07	7.5595224514e-07	0.346471132635
VLPFC_NeuN+	2.38071156018e-07	6.91460894512e-07	0.365309705934
HIPP_NeuN-	3.04539912974e-07	8.9015957631e-07	0.366130919527
MDT_NeuN+	1.43942116286e-07	7.44867973673e-07	0.423383493937
INS_NeuN+	1.47619552936e-07	1.01241215903e-06	0.442035793629
ITC_NeuN-	1.26130435457e-07	8.90330915774e-07	0.443671554086
ACC_NeuN+	8.72974218281e-08	8.17429105424e-07	0.457475768035
AMY_NeuN-	1.09507265794e-07	1.21049651924e-06	0.46395895198
PMC_NeuN-	3.94678588633e-08	8.1256775946e-07	0.480630281612
STC_NeuN+	2.08948114796e-08	7.55043426646e-07	0.488961217864
INS_NeuN-	-5.43629595325e-09	9.31912500295e-07	0.502327209908
AMY_NeuN+	-1.9157857207e-07	1.33611069979e-06	0.557007035882
VLPFC_NeuN-	-1.61453286226e-07	9.54261470342e-07	0.567177139278
PMC_NeuN+	-1.25264799962e-07	7.04565104989e-07	0.570556144181
ACC_NeuN-	-1.54789817575e-07	7.82983694067e-07	0.578357077861
PVC_NeuN-	-2.81066885847e-07	1.01360765278e-06	0.609222652236
OFC_NeuN-	-2.87433299438e-07	8.03716428747e-07	0.639689977644
MDT_NeuN-	-3.01812241832e-07	7.35786979368e-07	0.659166602751
ITC_NeuN+	-3.56558625536e-07	7.58686704051e-07	0.680811131776
PUT_NeuN-	-3.91506908442e-07	7.33739813086e-07	0.703182991552
DLPFC_NeuN+	-5.02221733693e-07	6.96933735287e-07	0.764427155307
HIPP_NeuN+	-7.3525589239e-07	9.17198935886e-07	0.788617029903
DLPFC_NeuN-	-8.58714780017e-07	7.69714402264e-07	0.867709254924
STC_NeuN-	-1.01726139612e-06	9.03360223227e-07	0.86993546279
