Name	Coefficient	Coefficient_std_error	Coefficient_P_value
OFC_NeuN+	4.02110302391e-08	4.9352264142e-08	0.207600329304
STC_NeuN+	4.4252985991e-08	5.4590701203e-08	0.20878842939
STC_NeuN-	4.95469369652e-08	7.26172330457e-08	0.247523770921
VLPFC_NeuN+	1.62278948075e-08	4.4446561516e-08	0.357514558141
ACC_NeuN+	1.87995333361e-08	6.04380564895e-08	0.3778795706
DLPFC_NeuN+	1.31139087963e-08	5.10892921334e-08	0.398710569134
HIPP_NeuN+	1.47194717274e-08	6.27424341763e-08	0.407259006794
PUT_NeuN+	1.122683976e-08	5.3892454006e-08	0.417489820871
ITC_NeuN+	8.0010489396e-09	5.33815795124e-08	0.440428036031
PMC_NeuN+	9.15305986763e-10	5.09698230255e-08	0.492836258576
ITC_NeuN-	-1.41101296888e-09	7.67560838503e-08	0.50733337346
NAC_NeuN+	-6.23361702032e-09	7.62099448902e-08	0.532595262144
MDT_NeuN-	-8.50640134185e-09	7.38109872943e-08	0.545874824819
AMY_NeuN-	-1.44185985942e-08	8.70524800802e-08	0.565776367001
OFC_NeuN-	-2.02525708226e-08	7.50566805007e-08	0.606354616006
DLPFC_NeuN-	-3.47354575354e-08	6.43832447233e-08	0.705232785479
PUT_NeuN-	-4.00519606941e-08	6.47602262197e-08	0.731865708162
VLPFC_NeuN-	-4.82778181842e-08	7.46610281116e-08	0.741063230463
PVC_NeuN-	-5.5112992392e-08	8.4859525241e-08	0.74197992992
NAC_NeuN-	-6.73152183122e-08	1.0328012701e-07	0.742726251805
AMY_NeuN+	-6.97282028018e-08	1.02562944843e-07	0.751702700809
HIPP_NeuN-	-5.16280777458e-08	7.43675841773e-08	0.756230460201
ACC_NeuN-	-5.21239591316e-08	7.47945421251e-08	0.757065816313
INS_NeuN+	-6.97198439437e-08	8.33858954544e-08	0.798453700555
PVC_NeuN+	-6.39342134176e-08	7.30437405383e-08	0.809291031086
MDT_NeuN+	-5.70208590046e-08	5.83765720223e-08	0.835660073767
PMC_NeuN-	-6.90784056882e-08	7.02787051893e-08	0.837176806044
INS_NeuN-	-1.08739848111e-07	8.22914166806e-08	0.906815926446
