Name	Coefficient	Coefficient_std_error	Coefficient_P_value
MDT_NeuN+	4.30183600255e-07	4.7671751862e-07	0.183425713017
INS_NeuN-	4.97705808111e-07	5.77994729962e-07	0.194594082836
NAC_NeuN-	7.24913503198e-07	8.88006827237e-07	0.207153492089
VLPFC_NeuN-	4.59286253557e-07	6.3416431605e-07	0.234459643447
PVC_NeuN+	3.90331635817e-07	6.2036256835e-07	0.264609324105
PUT_NeuN+	2.71463192502e-07	4.41275077675e-07	0.269218233766
STC_NeuN+	2.12830311983e-07	4.86908759981e-07	0.331017557149
OFC_NeuN-	1.97509267671e-07	5.89514401572e-07	0.368798503906
HIPP_NeuN-	1.38547660729e-07	6.71349396294e-07	0.418250203502
AMY_NeuN-	4.22195171028e-08	8.06658713018e-07	0.479129384647
PVC_NeuN-	-3.71101330297e-09	6.61209730092e-07	0.502239035921
PUT_NeuN-	-4.98643146771e-08	5.2512552805e-07	0.537825486465
PMC_NeuN-	-6.72482214922e-08	5.72229658972e-07	0.54677585789
ITC_NeuN+	-6.41171993738e-08	4.71222024201e-07	0.554115366207
VLPFC_NeuN+	-6.74673479096e-08	3.88913660267e-07	0.568861517929
ITC_NeuN-	-1.11849991529e-07	5.74902516446e-07	0.577129218621
AMY_NeuN+	-2.20710875818e-07	8.55242934253e-07	0.601822805283
DLPFC_NeuN-	-1.82458900281e-07	5.82040792157e-07	0.623042484612
OFC_NeuN+	-1.48364833674e-07	4.23398911695e-07	0.636985925115
INS_NeuN+	-2.3462318995e-07	6.58259104028e-07	0.639240658749
PMC_NeuN+	-1.76107969551e-07	4.3633387753e-07	0.656749605169
ACC_NeuN+	-2.11788913554e-07	4.9208578156e-07	0.666544100079
STC_NeuN-	-3.16522226135e-07	6.01907478049e-07	0.70050908245
DLPFC_NeuN+	-2.45452240785e-07	4.53458457911e-07	0.70584592522
MDT_NeuN-	-3.90854286441e-07	5.33564861863e-07	0.768078584497
NAC_NeuN+	-4.53375225048e-07	5.38513722375e-07	0.800078306236
ACC_NeuN-	-5.07848369672e-07	5.06923092329e-07	0.841786007675
HIPP_NeuN+	-7.47412475801e-07	5.5312849423e-07	0.911691623299
