Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+	8.73649106616e-07	5.73311218952e-07	0.0637711742118
NAC_NeuN+	8.24230887209e-07	7.00137868062e-07	0.119549697456
ITC_NeuN+	6.34004064673e-07	5.80740216819e-07	0.137478718443
PMC_NeuN+	4.55937224228e-07	5.32406599255e-07	0.195896480606
DLPFC_NeuN+	3.26400355363e-07	5.18513104462e-07	0.264513184046
ACC_NeuN+	3.33350771014e-07	6.03121095683e-07	0.29023116688
INS_NeuN+	4.50218142002e-07	8.23263131285e-07	0.292233926379
MDT_NeuN+	1.874231882e-07	6.08871089192e-07	0.379109345217
INS_NeuN-	1.16139358734e-07	7.63559701166e-07	0.439553036257
OFC_NeuN+	5.35541903739e-08	4.94988221822e-07	0.456921355113
PVC_NeuN+	6.35181813397e-08	7.82465007492e-07	0.467650585368
STC_NeuN+	1.95136189271e-09	5.63605299547e-07	0.498618751086
PVC_NeuN-	5.53877055467e-10	7.7222647122e-07	0.499713859904
HIPP_NeuN+	-8.25438278299e-08	7.23917207967e-07	0.545390556793
ITC_NeuN-	-2.39106131459e-07	7.64277425543e-07	0.622803650639
ACC_NeuN-	-2.49787132545e-07	6.6953075988e-07	0.645454768267
VLPFC_NeuN-	-3.06120934164e-07	7.33236507123e-07	0.661840991106
PUT_NeuN-	-2.82551577276e-07	6.28747626509e-07	0.673424071792
AMY_NeuN-	-4.45305805941e-07	9.39726222509e-07	0.682202836052
VLPFC_NeuN+	-2.76064760797e-07	5.12467838445e-07	0.704951942862
AMY_NeuN+	-5.98896054474e-07	1.01037965397e-06	0.723323614777
DLPFC_NeuN-	-4.32902920647e-07	6.884865131e-07	0.735251726669
STC_NeuN-	-5.87498667841e-07	7.57017002365e-07	0.781146360347
HIPP_NeuN-	-6.24008106434e-07	7.97353313146e-07	0.783068759551
MDT_NeuN-	-6.61178988865e-07	6.36372751411e-07	0.850593137301
PMC_NeuN-	-7.84514871342e-07	7.15777259912e-07	0.863467641987
NAC_NeuN-	-1.4089345044e-06	1.10997158011e-06	0.897840597629
OFC_NeuN-	-1.12918144222e-06	6.58231179758e-07	0.956871233773
