Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+	6.7671902983e-08	1.90391874444e-08	0.000189458539197
PUT_NeuN+	4.64144778083e-08	1.60156955404e-08	0.00187738209345
MDT_NeuN+	1.32093241013e-08	1.69279015016e-08	0.21759876878
HIPP_NeuN+	8.65048953202e-09	1.94703913762e-08	0.328416662854
OFC_NeuN+	6.97699392906e-09	1.59554743115e-08	0.330954509792
VLPFC_NeuN+	3.62170371011e-09	1.42804836862e-08	0.399897617022
STC_NeuN+	3.89782308286e-09	1.59951139881e-08	0.403736094826
PVC_NeuN-	1.12169937724e-09	2.44682231811e-08	0.481717650183
DLPFC_NeuN+	-1.32056146923e-09	1.51432782497e-08	0.534745504605
PMC_NeuN+	-2.10798217313e-09	1.51320023385e-08	0.555395915818
PMC_NeuN-	-3.28747888356e-09	2.11490423989e-08	0.561764110915
STC_NeuN-	-3.94629098296e-09	2.3717329856e-08	0.566074388994
ACC_NeuN+	-3.32622431748e-09	1.81331681971e-08	0.572770919776
ACC_NeuN-	-4.99435495712e-09	1.84153669268e-08	0.606883637139
VLPFC_NeuN-	-7.42968096695e-09	2.2355632423e-08	0.630183900815
AMY_NeuN-	-8.83960941988e-09	2.6515327365e-08	0.630575268693
DLPFC_NeuN-	-7.98950112089e-09	2.01173865785e-08	0.654369394506
OFC_NeuN-	-1.15191591113e-08	2.10868052842e-08	0.707560963171
HIPP_NeuN-	-1.19841346979e-08	2.09830759129e-08	0.716045377467
MDT_NeuN-	-1.23693721968e-08	2.11173565942e-08	0.720976335261
INS_NeuN+	-1.30980172247e-08	2.16941024357e-08	0.726998176069
PUT_NeuN-	-1.20462776535e-08	1.88321125747e-08	0.738805386051
PVC_NeuN+	-1.4275393737e-08	2.21207193034e-08	0.740646689773
ITC_NeuN+	-1.15616004707e-08	1.56282532033e-08	0.770285801387
ITC_NeuN-	-2.12003605073e-08	2.15356022469e-08	0.837548704435
AMY_NeuN+	-3.20698792586e-08	2.88967320064e-08	0.866459523841
INS_NeuN-	-2.43974208151e-08	2.14501036583e-08	0.872315156537
NAC_NeuN-	-4.53470912831e-08	2.96875441242e-08	0.936678990013
