Name	Coefficient	Coefficient_std_error	Coefficient_P_value
VLPFC_NeuN+	4.70435134949e-08	1.33483200621e-08	0.000212299862682
STC_NeuN+	5.06029828518e-08	1.49231466895e-08	0.000348310356024
OFC_NeuN+	4.31988703539e-08	1.31149304437e-08	0.000494091697956
DLPFC_NeuN+	4.45373777472e-08	1.35589645408e-08	0.000510422070221
ACC_NeuN+	4.79020983223e-08	1.57101731424e-08	0.00114758940963
HIPP_NeuN+	5.03929627504e-08	1.70222663821e-08	0.00153612735482
MDT_NeuN-	5.06314039931e-08	1.83504909124e-08	0.00289776697194
STC_NeuN-	5.03237768851e-08	1.98506245779e-08	0.00562039089042
ITC_NeuN+	3.65805981607e-08	1.45891333675e-08	0.0060813793227
PVC_NeuN-	5.08654955191e-08	2.1977462008e-08	0.010321826434
PUT_NeuN-	3.46376755407e-08	1.6242370411e-08	0.0164808078074
PMC_NeuN-	4.26166507419e-08	2.02235375715e-08	0.0175466697731
PMC_NeuN+	2.86782110584e-08	1.36896327332e-08	0.0180905927394
NAC_NeuN+	4.04759303308e-08	1.94146315348e-08	0.0185430125492
AMY_NeuN-	5.51760481934e-08	2.65102475069e-08	0.0187027616701
PUT_NeuN+	3.49612604086e-08	1.7053368609e-08	0.0201769092751
ITC_NeuN-	3.8822521141e-08	1.92321452174e-08	0.0217630187512
MDT_NeuN+	2.76429235447e-08	1.4687455277e-08	0.029912772622
NAC_NeuN-	5.28561193218e-08	2.97244149932e-08	0.0376850519539
VLPFC_NeuN-	3.28360274771e-08	1.99570548795e-08	0.0499504421965
OFC_NeuN-	2.90046444182e-08	1.83052464668e-08	0.0565401063988
DLPFC_NeuN-	2.33343476047e-08	1.90748645088e-08	0.110607551871
PVC_NeuN+	2.22118879476e-08	1.88824845111e-08	0.119733050354
AMY_NeuN+	2.79509226161e-08	2.69410284688e-08	0.149754857585
INS_NeuN+	1.80101774922e-08	2.0610410546e-08	0.191103009411
HIPP_NeuN-	1.63288508373e-08	2.05220711286e-08	0.213111162124
INS_NeuN-	1.15507311937e-08	2.09363492315e-08	0.290574544057
ACC_NeuN-	6.13671947934e-09	1.62979691782e-08	0.353260429009
