Name	Coefficient	Coefficient_std_error	Coefficient_P_value
InB	3.11422370802e-07	5.84362285755e-07	0.297042097974
Opc	1.35014841616e-08	3.96510233651e-08	0.36673706135
End	4.05837844996e-08	1.22962066006e-07	0.370680616137
Mic	2.38644492105e-08	8.61358399913e-08	0.390868562576
ExL4	-4.32970404992e-09	5.71487808862e-08	0.530195762458
Ast	-2.92229371214e-08	4.55317796098e-08	0.739503045897
ExL56	-5.77366073683e-08	7.84585768905e-08	0.769100112501
In	-4.81932326213e-08	4.56526376916e-08	0.854436054134
Oli	-3.24370260651e-08	2.67687539988e-08	0.887195870511
Ex	-3.98569439003e-08	3.15054349232e-08	0.897078948915
ExL23	-1.14636217256e-07	7.75986671298e-08	0.930201873948
InA	-1.65080115609e-07	8.38630682713e-08	0.975491761408
