Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mic	1.40049952516e-06	7.08296198073e-07	0.0240050249602
ExL4	1.87113266982e-06	1.16335526804e-06	0.053874548064
ExL56	1.51654144107e-06	1.21002328083e-06	0.10504537852
In	2.95990305223e-07	6.13191036643e-07	0.314652649193
InA	4.25706913184e-08	1.08942323672e-06	0.484414755476
Oli	-6.16994762158e-08	4.31586130111e-07	0.556839043593
End	-3.09768513252e-07	1.3249890478e-06	0.592425795226
ExL23	-5.36398428586e-07	8.83004611219e-07	0.728230333285
Opc	-4.15187213064e-07	6.73779840012e-07	0.731120731669
Ast	-3.6846578186e-07	5.45237406386e-07	0.750412888304
Ex	-5.30376367078e-07	3.58873953939e-07	0.93028144027
InB	-6.68193673283e-06	3.25378959459e-06	0.979992110471
