Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ex	1.05290268721e-07	3.66968231168e-08	0.00205760291452
End	3.2147237233e-07	1.224853176e-07	0.00433781028977
In	1.21990687596e-07	6.91814407226e-08	0.0389212330746
Oli	7.13258753752e-08	4.07277481729e-08	0.0399484554374
Mic	1.16902248613e-07	7.82447273171e-08	0.0675800835249
InA	2.16706166691e-07	1.57749126427e-07	0.0847613234403
ExL56	2.27833102373e-07	1.70941901863e-07	0.0912970565055
Ast	5.4073534713e-08	5.97610600218e-08	0.182778017049
ExL23	5.91245243833e-08	1.03848624731e-07	0.284564841897
ExL4	4.83394646828e-08	9.38249523256e-08	0.303203472345
InB	-2.0109071728e-08	4.86030694213e-07	0.51650116097
Opc	-2.15560987631e-08	7.1104793314e-08	0.61911587182
