Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Opc	5.96197993434e-07	2.57622396421e-07	0.0103274998021
Oli	2.7385747104e-07	1.47960404314e-07	0.032093157472
In	2.90087006185e-07	2.33942208618e-07	0.107488750455
Ex	1.14442800499e-07	1.1293669948e-07	0.155449897036
ExL56	6.13826225093e-07	6.25601668791e-07	0.163252631015
ExL4	2.21088222792e-07	2.95851245017e-07	0.227442687006
End	2.43856574633e-07	4.55906982029e-07	0.296365624601
ExL23	-2.14178702191e-08	3.06543457231e-07	0.52785101744
InB	-2.02521086698e-07	9.78945382296e-07	0.581946961711
Ast	-1.06204529069e-07	1.91182374917e-07	0.710728508903
InA	-2.71106124534e-07	3.83627698475e-07	0.760120643082
Mic	-1.775743192e-07	2.45136451399e-07	0.765586737639
