Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Opc	3.66693315925e-07	1.84505286202e-07	0.0234367903763
ExL4	2.83018841689e-07	1.63134866561e-07	0.0413813437176
Oli	9.3381046827e-08	5.60955110556e-08	0.0479883583421
Ast	1.49478724965e-07	1.29064192789e-07	0.123396624781
ExL56	1.71160255328e-07	1.80557005809e-07	0.171575703953
In	8.1645559048e-08	8.73520348623e-08	0.174978509602
Mic	8.19406069999e-08	8.9162587742e-08	0.179047232133
InB	3.83073692005e-07	4.73944603416e-07	0.209468502731
Ex	3.96241875621e-08	5.41798063791e-08	0.232283903705
End	1.34469111682e-07	2.03244481941e-07	0.254109762737
InA	7.32334716734e-08	1.67102988435e-07	0.330601260364
ExL23	-1.20041370761e-07	1.15317300802e-07	0.851054298457
