Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ex	1.8718559806e-07	2.84015696742e-08	2.18911387251e-11
End	4.12801656201e-07	9.74361201719e-08	1.13445296243e-05
ExL4	3.16107021466e-07	7.74548797275e-08	2.24041724952e-05
In	1.98482452504e-07	5.37875941841e-08	0.000112075984625
Opc	1.82202569854e-07	5.28233880208e-08	0.000281043462696
Ast	1.07711792357e-07	3.88482918803e-08	0.00278029757865
ExL56	2.12319315642e-07	8.36651811139e-08	0.00557876313264
Oli	4.85803464654e-08	2.61166809785e-08	0.0314337718147
InA	2.3556037368e-07	1.27394180075e-07	0.032224069764
ExL23	6.05398720727e-08	5.76875071882e-08	0.146986653851
InB	3.48450362188e-07	3.41124307696e-07	0.153514439282
Mic	1.73155093162e-08	5.24070409623e-08	0.370547263508
