Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Opc	0.0166693153437	0.0126143426778	0.0931744638838
Ast	0.00875572001454	0.0111847015627	0.216863471671
Mic	0.0082959977567	0.0127643990491	0.257867912633
End	0.0149856798827	0.0246108029652	0.271293181026
Oli	0.00450283372851	0.00901773950122	0.308773233001
InA	-0.00516882466038	0.032690191404	0.562817090841
In	-0.00595297068774	0.0122419149291	0.686614869158
ExL23	-0.0203860787446	0.0178454702777	0.873349276815
ExL56	-0.0258084173795	0.021198674274	0.888284295053
ExL4	-0.0230809552971	0.0169632669013	0.913186778066
InB	-0.133680484679	0.0498237093708	0.996352510697
Ex	-0.0176408962025	0.005373253103	0.999486628285
