Name	Coefficient	Coefficient_std_error	Coefficient_P_value
End	3.05505449993e-07	1.58423435284e-07	0.0269020300994
Ex	4.47870476995e-08	2.91053227149e-08	0.0619275000355
ExL4	7.97245914573e-08	7.6470381064e-08	0.148577179603
InB	9.76789402459e-08	3.5386718994e-07	0.391261448849
In	6.97158904668e-09	5.10176332921e-08	0.445653498234
ExL23	7.44697115259e-09	7.8365983912e-08	0.462146250646
Opc	-1.55809285963e-08	7.21029970892e-08	0.585542240358
Ast	-1.46174464047e-08	4.23523808328e-08	0.635004956317
ExL56	-6.44842132557e-08	1.17734051606e-07	0.708054757246
InA	-8.66144043443e-08	1.06887908721e-07	0.791124530332
Mic	-5.45738017535e-08	6.26582782696e-08	0.808116132363
Oli	-7.49440984029e-08	3.96254631399e-08	0.970708619959
