Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ast	4.1795284646e-06	1.55889334056e-06	0.00366917317915
ExL4	5.90159435985e-06	2.49484445079e-06	0.00900248367548
In	3.13941304594e-06	1.49601437328e-06	0.0179297070826
Oli	1.32024789769e-06	8.47279493128e-07	0.0595905463269
InA	4.84923800469e-06	4.44793878823e-06	0.137807816779
ExL56	1.97995728395e-06	3.64705665432e-06	0.29360213858
Mic	9.29841122578e-07	1.75251804732e-06	0.297856887347
Opc	7.12131095005e-07	1.57716955786e-06	0.325805694491
InB	4.05537949549e-06	1.16772558339e-05	0.364187203613
ExL23	7.24076651542e-07	2.78182480717e-06	0.397320670505
End	-7.85014416927e-07	2.53670500857e-06	0.621515034676
Ex	-6.80313297567e-07	7.9221043475e-07	0.804761671696
