Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mic	1.84051961231e-06	1.95591811745e-06	0.173352342633
Ex	7.31701966794e-07	1.17113213949e-06	0.266057160893
InB	5.54278682032e-06	1.59686308931e-05	0.364256331698
In	3.47433587121e-07	1.61453230592e-06	0.414809018899
End	2.43817425042e-07	2.80706669818e-06	0.465392018669
ExL23	3.59590822551e-08	2.63400881377e-06	0.49455387066
ExL4	-6.27381877728e-07	3.06252966404e-06	0.581158232117
Oli	-3.84533163532e-07	1.16748861625e-06	0.629061150548
Opc	-2.02415685193e-06	1.66849640965e-06	0.887466102321
InA	-5.91689242765e-06	3.97207583827e-06	0.931838201891
ExL56	-4.61901165521e-06	3.00263190465e-06	0.938014923816
Ast	-2.92445373999e-06	1.61307779829e-06	0.96508139728
