Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ex	1.81795331269e-06	2.82843549102e-07	6.48953960535e-11
In	2.14934161897e-06	3.96006906233e-07	2.85687212753e-08
End	2.5318360312e-06	7.30890053092e-07	0.000266058747323
ExL4	1.70773293359e-06	5.59918950396e-07	0.00114434200324
InA	2.37772408223e-06	1.13109528132e-06	0.0177703734614
ExL23	1.36398597213e-06	6.55159273029e-07	0.0186751134254
ExL56	1.57943219585e-06	8.7164337158e-07	0.0349918213563
InB	4.63100673064e-06	3.77986937367e-06	0.110254383231
Oli	2.62762381525e-07	2.4384392002e-07	0.140609654344
Mic	2.61038272967e-07	4.44218843388e-07	0.278388858403
Ast	1.57333815035e-07	3.43957567683e-07	0.323683818178
Opc	1.27587776365e-07	3.8467504836e-07	0.3700666729
