Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ex	1.24063414557e-07	3.39423007031e-08	0.000128527424413
ExL4	2.25305951184e-07	1.17822360827e-07	0.0279219907496
ExL23	1.48397824044e-07	9.69827239077e-08	0.0629901733738
Oli	3.98577665193e-08	3.12210936438e-08	0.100866555927
Opc	7.08160308845e-08	6.38236326503e-08	0.133594739768
InA	1.13527087386e-07	1.30979427633e-07	0.193038103088
Ast	3.3472927791e-08	4.91478571028e-08	0.247914907603
End	5.98316552576e-08	1.1556152106e-07	0.302317326912
In	2.57491711591e-08	5.939708148e-08	0.332322503783
ExL56	-4.96924338619e-09	1.05331109512e-07	0.518814063152
Mic	-2.87639624729e-08	6.10832643243e-08	0.68114306843
InB	-4.1480346845e-07	2.70467525384e-07	0.937442541149
