Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D2_MSNs	7.11293759532e-09	6.85181704167e-09	0.149609497704
D1_MSNs_common	6.61521433273e-09	6.39173047077e-09	0.150342737808
Oligodendrocytes	4.65339100253e-09	5.61452345172e-09	0.203605066214
Astrocytes	2.89537111461e-09	4.91841820349e-09	0.278038204396
Endothelial_Cells	6.91340859276e-10	4.55555549595e-09	0.439689002722
Microglia	-6.73813501211e-10	4.91983916183e-09	0.55446817759
D1_MSN_NUDAP	-1.92997540052e-09	1.18808725863e-08	0.564521852702
Mural_Cells	-1.41500814027e-09	4.48797107475e-09	0.623728901218
Oligodendrocyte_Precursors	-1.82520434282e-09	4.88200256262e-09	0.645747198847
Ependymal_Cells	-2.68653501831e-09	4.49657426357e-09	0.724900720119
D1_MSN_Olfactory_Tubercle	-5.72514435667e-09	8.20536550377e-09	0.757327528178
Interneurons	-6.98756776245e-09	5.03645965841e-09	0.917339592286
