Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	3.23057438522e-09	1.55526902069e-09	0.0188924543402
Astrocytes	3.00606332813e-09	1.63107366293e-09	0.0326647483932
Oligodendrocyte_Precursors	4.92821370578e-09	2.68735426345e-09	0.0333378805511
D1_MSN_Olfactory_Tubercle	4.64621852908e-09	2.68440658794e-09	0.0417421388984
D1_MSN_NUDAP	2.78107282399e-09	2.0543342175e-09	0.0879066865783
D1_MSNs_common	2.35095749527e-09	2.06640931484e-09	0.127622521065
Ependymal_Cells	1.42428241646e-09	1.38093550772e-09	0.151179095681
Oligodendrocytes	1.49410127445e-09	1.79726961946e-09	0.202897210323
D2_MSNs	1.62081986648e-09	2.11561619058e-09	0.221801890741
Interneurons	1.58968726274e-09	2.22827025742e-09	0.237793686669
Endothelial_Cells	7.10927632486e-10	1.38068611215e-09	0.303308324162
Microglia	-1.69066717056e-09	1.53161795977e-09	0.865169575126
