Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Microglia	2.87019547231e-09	8.32629061866e-10	0.000283269234572
Oligodendrocytes	2.41650861446e-09	8.24165123113e-10	0.00168356223059
Interneurons	3.93108640107e-09	1.47860422038e-09	0.00392275798412
Endothelial_Cells	2.10662349783e-09	8.5937523812e-10	0.00711621241774
Ependymal_Cells	2.03910174606e-09	8.53074503155e-10	0.00841736781396
D1_MSN_NUDAP	2.38694344439e-09	1.23198185144e-09	0.0263431869918
Mural_Cells	1.50359439307e-09	8.13078473174e-10	0.0322100598151
D1_MSNs_common	1.60140249605e-09	9.33620843658e-10	0.0431487836
D2_MSNs	1.3583866564e-09	8.96880657752e-10	0.0649409329359
Astrocytes	8.84740898652e-10	8.36359577568e-10	0.145062483834
Oligodendrocyte_Precursors	-3.15916546546e-10	9.22972666275e-10	0.633930503463
D1_MSN_Olfactory_Tubercle	-4.66333517695e-10	1.35698386621e-09	0.634446907344
