Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	5.20263720954e-09	1.44594582221e-09	0.000160283903504
Microglia	4.82561928485e-09	1.43170359142e-09	0.000375100255162
Mural_Cells	4.41716765152e-09	1.32856360889e-09	0.000442458447485
Endothelial_Cells	4.49434856452e-09	1.38920334992e-09	0.000607790994782
D2_MSNs	3.37265535009e-09	1.05947196241e-09	0.000727942543776
Astrocytes	3.51409702303e-09	1.17953288497e-09	0.00144487982393
Oligodendrocytes	3.14121313604e-09	1.09081480756e-09	0.00199030494581
D1_MSNs_common	3.15616109903e-09	1.10662122464e-09	0.00217177732025
Ependymal_Cells	2.97651119608e-09	1.26923444117e-09	0.00951039544386
Oligodendrocyte_Precursors	2.77687193934e-09	1.20753969769e-09	0.0107351255389
Interneurons	5.56488278332e-09	2.95962561976e-09	0.0300359320843
D1_MSN_Olfactory_Tubercle	2.22637952139e-09	1.45365883983e-09	0.0628143536754
