Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	3.79957741881e-09	1.36961155076e-09	0.00276687576981
Astrocytes	2.4954496813e-09	9.04100274235e-10	0.00288876769919
D2_MSNs	2.81091112521e-09	1.19099610767e-09	0.00913415262535
D1_MSNs_common	2.57555832817e-09	1.10435512044e-09	0.00984553090276
Ependymal_Cells	1.74750643574e-09	9.11168027008e-10	0.0275634275582
Oligodendrocytes	1.74558571427e-09	1.01615860951e-09	0.0429139961369
Mural_Cells	1.42303653591e-09	9.95017370798e-10	0.0763351919855
Oligodendrocyte_Precursors	1.69921893941e-09	1.25299173735e-09	0.0875289992075
Endothelial_Cells	1.40794322425e-09	1.03885894878e-09	0.0876644171159
Microglia	7.99394849436e-10	1.07578624679e-09	0.228716734817
D1_MSN_Olfactory_Tubercle	8.20188235125e-10	1.90330347382e-09	0.333260079858
Interneurons	3.61983665827e-10	1.4105799741e-09	0.398735893884
