Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_Olfactory_Tubercle	2.07531813179e-08	1.67705064843e-08	0.107954302013
Endothelial_Cells	7.31356145539e-09	8.07915850086e-09	0.18266965157
D1_MSNs_common	5.26099451151e-09	8.72902444736e-09	0.273353703364
Astrocytes	2.81370096763e-10	7.37265983403e-09	0.484778466942
Interneurons	-2.57133836991e-10	1.08275577083e-08	0.509473227545
Ependymal_Cells	-2.30337052685e-10	7.50846814459e-09	0.512236421138
D1_MSN_NUDAP	-3.71313160622e-10	1.07533331708e-08	0.513772760961
Mural_Cells	-2.57982049859e-09	7.68961841014e-09	0.631373748292
Oligodendrocyte_Precursors	-4.15978858736e-09	8.82698769596e-09	0.681271748529
Microglia	-4.08030729684e-09	8.15348583174e-09	0.691616353462
D2_MSNs	-4.26554783435e-09	8.38317057757e-09	0.694561761225
Oligodendrocytes	-9.66981101759e-09	7.04728405313e-09	0.914988981137
