Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_Olfactory_Tubercle	4.70657877676e-08	6.24842398652e-08	0.225652089205
Oligodendrocytes	1.1100849663e-08	2.79804238338e-08	0.345780966521
Microglia	1.16655189497e-08	2.96289949123e-08	0.346893998107
D2_MSNs	1.24010964697e-08	3.32936616626e-08	0.354769165696
D1_MSNs_common	8.76396769546e-09	3.11782889597e-08	0.38931991732
Endothelial_Cells	3.28489237717e-09	2.68029362981e-08	0.451228880762
Astrocytes	1.54113327204e-09	2.7796348696e-08	0.47789247866
Interneurons	-8.68116923678e-10	4.03430740589e-08	0.508583922465
Ependymal_Cells	-2.74925653365e-09	2.58895766605e-08	0.542284847037
Mural_Cells	-2.1352228886e-08	2.63873155081e-08	0.790795727113
Oligodendrocyte_Precursors	-3.80816580347e-08	2.99840657884e-08	0.897968937609
D1_MSN_NUDAP	-5.90967643578e-08	3.12211010619e-08	0.970810883754
