Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	1.26238609817e-07	6.08914794584e-08	0.0190780615499
Mural_Cells	6.60935260704e-08	3.31102249217e-08	0.0229578942529
Endothelial_Cells	5.59509253327e-08	3.39430243345e-08	0.0496375917248
D2_MSNs	5.01165822354e-08	4.10018965846e-08	0.110797265402
D1_MSNs_common	3.49012972768e-08	3.76581262107e-08	0.177016944466
D1_MSN_Olfactory_Tubercle	4.12852253785e-08	6.36881004209e-08	0.258414607387
Ependymal_Cells	1.37725531148e-08	3.10620611483e-08	0.328742464558
Microglia	1.4512335564e-08	3.5605289963e-08	0.341787606953
Oligodendrocytes	8.94799768732e-09	3.6511342536e-08	0.40319938759
Astrocytes	-2.92984485612e-09	3.05385033477e-08	0.538215638074
Oligodendrocyte_Precursors	-1.45539543228e-08	4.16694815606e-08	0.63655718164
Interneurons	-3.91600093365e-08	5.15986428126e-08	0.776054241131
