Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Interneurons	4.14246457055e-08	1.95346070812e-08	0.0169786921033
D1_MSN_Olfactory_Tubercle	3.51079130766e-08	1.84890155772e-08	0.0287919374195
D1_MSN_NUDAP	2.05944997044e-08	1.45220194209e-08	0.0780725045211
Astrocytes	1.27780232069e-08	9.02957501197e-09	0.0785151801459
Mural_Cells	1.05408717694e-08	8.48085522914e-09	0.106951977714
Oligodendrocyte_Precursors	1.30698481708e-08	1.18139641705e-08	0.134297254314
D1_MSNs_common	7.28603210514e-09	9.74538959376e-09	0.227339004984
Endothelial_Cells	6.65691137938e-09	9.07677121762e-09	0.231657002116
D2_MSNs	7.14079379107e-09	1.02375995841e-08	0.242742889548
Microglia	-6.80652681079e-10	9.52440832129e-09	0.528485777685
Oligodendrocytes	-3.50863710091e-09	8.43836764522e-09	0.661220252338
Ependymal_Cells	-6.77499051977e-09	9.15152392407e-09	0.770444899287
